Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1169,1125,1326,1286,1281,1285,1552
  └─ YOY Sales Growth %,,,,,9.58%,14.23%,17.09%
Expenses,963,947,1107,1057,1064,1063,1295
  └─ Material Cost %,65%,66%,65%,64%,66%,65%,65%
  └─ Employee Cost %,6%,6%,6%,6%,6%,6%,7%
Operating Profit,205,178,219,229,217,223,257
OPM %,18%,16%,17%,18%,17%,17%,17%
Other Income,1,19,6,31,12,-22,11
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-27.17,0.00
  └─ Other income normal,1.36,18.62,5.99,30.81,12.06,4.68,11.40
Interest,4,5,7,7,11,7,9
Depreciation,25,27,26,25,26,28,29
Profit before tax,177,165,192,227,192,165,231
Tax %,23%,24%,27%,26%,22%,28%,28%
Net Profit,137,125,140,168,151,119,167
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0
  └─ Exceptional items AT,0,0,0,0,0,-19,0
  └─ Profit excl Excep,137,125,140,168,151,138,167
  └─ Profit for PE,137,125,140,168,150,138,167
  └─ Profit for EPS,137,125,140,168,150,119,167
  └─ YOY Profit Growth %,,,,,10%,10%,19%
EPS in Rs,6.39,5.85,3.47,4.16,3.73,2.94,4.13
Raw PDF,,,,,,,
