Metric,Sep 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,20.79,10.12,39.66,11.75,49.17,23.44,86.31,101.10,97.73
  └─ YOY Sales Growth %,,,,,,137%,132%,118%,760%,99%
Expenses,0.00,18.28,10.33,39.16,11.38,46.66,19.18,70.09,79.53,96.73
  └─ Material Cost %,,79%,85%,91%,64%,80%,54%,15%,48%,70%
  └─ Employee Cost %,,2%,4%,1%,6%,2%,13%,4%,4%,4%
Operating Profit,0.00,2.51,-0.21,0.50,0.37,2.51,4.26,16.22,21.57,1.00
OPM %,,12.07%,-2.08%,1.26%,3.15%,5.10%,18.17%,18.79%,21.34%,1.02%
Other Income,0.00,0.47,0.69,0.05,0.38,0.15,7.36,2.48,1.09,1.28
  └─ Exceptional items,0.00,0.00,-0.05,-0.17,0.00,0.00,-0.11,0.00,0.00,0.00
  └─ Other income normal,0.00,0.47,0.74,0.22,0.38,0.15,7.47,2.48,1.09,1.28
Interest,0.00,0.05,0.13,0.05,0.07,0.23,0.67,0.92,0.64,3.61
Depreciation,0.00,0.18,0.28,0.29,0.56,0.51,0.77,0.51,0.77,0.93
Profit before tax,0.00,2.75,0.07,0.21,0.12,1.92,10.18,17.27,21.25,-2.26
Tax %,,6.18%,271.43%,-38.10%,350.00%,26.04%,50.79%,19.46%,9.18%,214.60%
Net Profit,0.00,2.59,-0.12,0.29,-0.29,1.31,5.01,13.90,19.23,-7.10
  └─ Profit from Associates,0,0,0,0,0,-0,0,0,-0,0
  └─ Exceptional items AT,0,0,0,-0,0,0,-0,0,0,0
  └─ Profit excl Excep,0,3,-0,0,-0,1,5,14,19,-7
  └─ Profit for PE,0,3,-0,0,-0,1,5,14,19,-7
  └─ Profit for EPS,0,3,-0,0,-0,1,5,14,19,-7
  └─ YOY Profit Growth %,,,,,,-49%,2635%,2922%,6731%,-642%
EPS in Rs,0.00,0.05,-0.00,0.01,-0.01,0.02,0.08,0.21,0.30,-0.11
Raw PDF,,,,,,,,,,
