Metric,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,0.22,1.96,0.99,8.41,22.17,15.11,10.65,18.60,25.65,22.51,30.77,23.90
Expenses,0.32,1.35,1.59,7.38,20.42,14.86,9.57,16.29,20.94,20.82,22.56,24.61
  └─ Employee Cost %,55%,15%,73%,15%,12%,25%,29%,35%,31%,42%,41%,52%
Operating Profit,-0.10,0.61,-0.60,1.03,1.75,0.25,1.08,2.31,4.71,1.69,8.21,-0.71
OPM %,-45.45%,31.12%,-60.61%,12.25%,7.89%,1.65%,10.14%,12.42%,18.36%,7.51%,26.68%,-2.97%
Other Income,0.00,0.13,0.06,0.39,0.36,0.56,0.44,1.07,4.17,1.53,1.99,3.28
  └─ Other income normal,0.00,0.13,0.06,0.39,0.36,0.56,0.44,1.07,4.17,1.53,1.99,3.28
Interest,0.01,0.09,0.03,0.20,0.51,0.78,0.69,0.32,1.55,1.08,0.88,0.69
Depreciation,0.04,0.20,0.05,0.32,0.37,0.27,0.48,1.05,1.05,2.46,1.80,2.54
Profit before tax,-0.15,0.45,-0.62,0.90,1.23,-0.24,0.35,2.01,6.28,-0.32,7.52,-0.66
Tax %,0.00%,37.78%,-24.19%,34.44%,17.89%,37.50%,88.57%,63.18%,34.39%,121.88%,20.48%,-104.55%
Net Profit,-0.12,0.28,-0.47,0.60,1.01,-0.34,0.05,0.75,4.11,-0.72,5.98,0.04
  └─ Profit from Associates,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Minority share,0.00,0.00,0.00,0.14,-0.07,0.03,0.31,-0.13,-0.07,0.11,0.02,-0.28
  └─ Profit excl Excep,-0.12,0.28,-0.47,0.60,1.01,-0.34,0.05,0.75,4.11,-0.72,5.98,0.04
  └─ Profit for PE,-0.12,0.28,-0.47,0.74,0.94,-0.31,0.36,0.62,4.04,-0.61,6.00,-0.24
  └─ Profit for EPS,-0.12,0.28,-0.47,0.74,0.94,-0.31,0.36,0.62,4.04,-0.61,6.00,-0.24
EPS in Rs,,,-0.08,0.12,0.14,-0.04,0.05,0.09,0.58,-0.09,0.84,-0.03
Raw PDF,,,,,,,,,,,,
