Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Sales,6.29,2.74,0.00,0.00
Expenses,5.74,3.15,0.20,0.20
  └─ Material Cost %,79.65%,101.82%,,
  └─ Employee Cost %,3.82%,5.11%,,
Operating Profit,0.55,-0.41,-0.20,-0.20
OPM %,8.74%,-14.96%,,
Other Income,0.10,-0.04,0.02,0.05
  └─ Other income normal,0.10,-0.04,0.02,0.05
Interest,0.00,0.00,0.00,0.00
Depreciation,0.03,0.03,0.03,0.03
Profit before tax,0.62,-0.48,-0.21,-0.18
Tax %,25.81%,-25.00%,-19.05%,0.00%
Net Profit,0.46,-0.36,-0.16,-0.18
  └─ Minority share,0.01,0.00,0.01,0.00
  └─ Profit excl Excep,0.46,-0.36,-0.16,-0.18
  └─ Profit for PE,0.47,-0.36,-0.15,-0.18
  └─ Profit for EPS,0.47,-0.36,-0.15,-0.18
EPS in Rs,0.09,-0.07,-0.03,-0.03
Raw PDF,,,,
