Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,3998,4270,4108,4265,4389,4532,4727,3992,4360,4291,4107,4008,3885
  └─ YOY Sales Growth %,-27.18%,-14.43%,-25.80%,-1.08%,9.78%,6.14%,15.06%,-6.40%,-0.65%,-5.33%,-13.12%,0.39%,-10.90%
Expenses,3149,3433,3394,3351,3608,3570,3905,3304,3808,3723,3389,3399,3273
  └─ Material Cost %,69%,70%,73%,69%,72%,68%,74%,73%,77%,75%,72%,73%,73%
  └─ Employee Cost %,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%
Operating Profit,849,837,715,914,781,962,822,688,553,567,718,609,612
OPM %,21%,20%,17%,21%,18%,21%,17%,17%,13%,13%,17%,15%,16%
Other Income,42,45,40,55,56,114,69,76,96,109,101,114,96
  └─ Exceptional items,0,0,0,0,0,56,0,0,0,0,0,0,0
  └─ Other income normal,42,45,40,55,56,59,69,76,96,109,101,114,96
Interest,15,6,8,14,8,8,8,8,10,11,8,8,9
Depreciation,158,157,161,165,168,169,171,179,179,179,184,188,189
Profit before tax,718,719,586,789,661,899,712,577,460,486,626,527,510
Tax %,26%,24%,26%,25%,25%,26%,26%,27%,27%,27%,26%,26%,26%
Net Profit,530,543,434,590,496,663,527,423,335,352,465,389,379
  └─ Minority share,-170,-170,-99,-136,-101,-188,-152,-142,-101,-132,-150,-128,-122
  └─ Exceptional items AT,-0,-0,-0,-0,-0,41,-0,-0,-0,-0,-0,-0,-0
  └─ Profit excl Excep,530,543,434,590,496,622,527,423,335,352,465,389,379
  └─ Profit for PE,359,373,335,455,395,446,375,282,234,220,315,261,257
  └─ Profit for EPS,359,373,335,455,395,475,375,282,234,220,315,261,257
  └─ YOY Profit Growth %,22%,-16%,-29%,4%,10%,19%,12%,-38%,-41%,-51%,-16%,-7%,10%
EPS in Rs,6.37,6.61,5.94,8.06,7.00,8.42,6.65,4.99,4.15,3.90,5.58,4.62,4.55
Raw PDF,,,,,,,,,,,,,
