Metric,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014
Sales,22.23,22.43,25.72,32.42,31.12,24.84,14.09,37.38,31.72,38.44,37.55,38.90,37.63
  └─ YOY Sales Growth %,1177.59%,968.10%,1909.38%,-1.16%,39.99%,10.74%,-45.22%,15.30%,1.93%,54.75%,166.50%,4.07%,18.63%
Expenses,22.83,24.58,25.56,30.70,28.89,23.21,14.59,33.66,28.53,34.93,35.51,37.56,37.21
  └─ Material Cost %,72%,78%,72%,68%,67%,65%,63%,63%,58%,66%,67%,71%,72%
  └─ Employee Cost %,8%,9%,8%,7%,8%,7%,12%,9%,9%,7%,8%,7%,8%
Operating Profit,-0.60,-2.15,0.16,1.72,2.23,1.63,-0.50,3.72,3.19,3.51,2.04,1.34,0.42
OPM %,-2.70%,-9.59%,0.62%,5.31%,7.17%,6.56%,-3.55%,9.95%,10.06%,9.13%,5.43%,3.44%,1.12%
Other Income,2.10,0.41,0.00,0.80,0.21,0.72,0.74,0.35,0.35,0.42,0.30,0.67,0.26
  └─ Exceptional items,1.15,0.02,0.00,-0.02,0.05,0.00,-0.02,-0.02,-0.03,0.20,0.10,0.01,0.00
  └─ Other income normal,0.95,0.39,0.00,0.82,0.16,0.72,0.76,0.37,0.38,0.22,0.20,0.66,0.26
Interest,0.03,0.00,0.00,0.04,0.03,0.01,0.03,0.01,0.00,0.05,0.09,0.00,0.16
Depreciation,0.71,1.02,1.25,1.25,1.22,1.01,1.07,1.60,1.65,1.66,1.69,1.50,2.12
Profit before tax,0.76,-2.76,-1.09,1.23,1.19,1.33,-0.86,2.46,1.89,2.22,0.56,0.51,-1.60
Tax %,26.32%,0.00%,0.00%,-17.89%,20.17%,7.52%,9.30%,24.39%,26.46%,22.52%,17.86%,-1.96%,0.00%
Net Profit,0.56,-2.76,-1.09,1.45,0.95,1.23,-0.94,1.86,1.39,1.72,0.46,0.52,-1.60
  └─ Exceptional items AT,1,0,0,-0,0,0,-0,-0,-0,0,0,0,0
  └─ Profit excl Excep,-0,-3,-1,1,1,1,-1,2,1,2,0,1,-2
  └─ Profit for PE,-0,-3,-1,1,1,1,-1,2,1,2,0,1,-2
  └─ Profit for EPS,1,-3,-1,1,1,1,-1,2,1,2,0,1,-2
  └─ YOY Profit Growth %,-180%,-718%,-121%,-36%,333%,144%,16%,27%,55%,28%,141%,-72%,-213%
EPS in Rs,3.36,-16.58,-6.55,8.71,5.71,7.39,-5.65,11.17,8.35,10.33,2.76,3.12,-9.61
Raw PDF,,,,,,,,,,,,,
