Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,650,741,695,944,822,772,831,1012,838,807,991,1387
  └─ YOY Sales Growth %,,,,,26.49%,4.24%,19.53%,7.21%,1.92%,4.45%,19.34%,37.06%
Expenses,563,614,555,779,678,649,707,884,729,693,852,1163
  └─ Material Cost %,82%,78%,71%,79%,78%,80%,80%,83%,83%,81%,82%,81%
  └─ Employee Cost %,1%,2%,3%,2%,1%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,87,127,140,164,144,123,123,128,109,114,139,224
OPM %,13%,17%,20%,17%,18%,16%,15%,13%,13%,14%,14%,16%
Other Income,8,9,12,8,8,15,11,23,14,17,11,12
  └─ Other income normal,7.63,8.81,12.23,8.16,7.81,14.62,10.59,23.21,14.44,16.65,10.86,12.30
Interest,23,24,21,26,35,35,27,37,42,37,37,44
Depreciation,12,14,13,16,13,14,12,16,14,16,16,16
Profit before tax,60,97,117,131,104,88,95,98,67,77,97,176
Tax %,27%,24%,33%,17%,25%,26%,25%,26%,24%,27%,25%,27%
Net Profit,44,74,78,108,78,66,71,72,51,56,72,129
  └─ Minority share,0,0,1,1,2,2,2,2,2,2,2,-2
  └─ Profit excl Excep,44,74,78,108,78,66,71,72,51,56,72,129
  └─ Profit for PE,44,74,79,109,79,67,73,74,53,58,74,127
  └─ Profit for EPS,44,74,79,109,79,67,73,74,53,58,74,127
  └─ YOY Profit Growth %,,,,,80%,-9%,-8%,-32%,-33%,-14%,1%,71%
EPS in Rs,5.63,4.70,5.04,6.93,5.05,3.86,4.20,4.25,3.05,3.33,4.25,7.27
Raw PDF,,,,,,,,,,,,
