Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,48,55,60,57,62,61,66,72,66,74
  └─ YOY Sales Growth %,,,,,29.04%,10.21%,9.94%,26.52%,7.09%,21.89%
Expenses,44,43,46,48,52,51,54,61,59,60
  └─ Material Cost %,27.81%,22.38%,24.13%,24.26%,26.09%,21.25%,26.69%,31.47%,30.45%,29.52%
  └─ Employee Cost %,38.13%,34.80%,29.83%,35.96%,35.28%,40.23%,36.02%,35.66%,39.28%,36.19%
Operating Profit,4,12,14,9,10,10,12,11,7,14
OPM %,8%,21%,23%,15%,16%,16%,18%,15%,11%,18%
Other Income,-0,-0,6,1,1,2,2,2,-4,2
  └─ Exceptional items,-0.56,-0.73,5.91,0.00,0.00,0.41,0.00,0.00,-5.78,0.00
  └─ Other income normal,0.20,0.31,0.39,0.73,0.59,1.63,1.72,2.39,2.08,2.36
Interest,1,1,1,1,2,1,0,0,0,0
Depreciation,3,3,3,3,4,4,4,4,4,4
Profit before tax,-1,7,16,5,5,6,10,9,-1,11
Tax %,-140%,16%,11%,23%,23%,41%,24%,20%,-175%,4%
Net Profit,2,8,17,6,5,4,8,9,2,10
  └─ Profit from Associates,2,2,3,2,1,1,1,1,1,-1
  └─ Minority share,-0,-0,-0,-0,-0,0,0,0,0,-0
  └─ Exceptional items AT,-1,-1,5,0,0,0,0,0,-4,0
  └─ Profit excl Excep,3,8,12,6,5,4,8,9,6,10
  └─ Profit for PE,3,8,12,6,5,4,8,9,6,10
  └─ Profit for EPS,2,8,17,6,5,4,8,9,2,10
  └─ YOY Profit Growth %,,,,,70%,-51%,-28%,45%,22%,150%
EPS in Rs,74.05,243.91,6.04,2.12,0.93,0.78,1.53,1.55,0.36,1.83
Raw PDF,,,,,,,,,,
