Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,57.15,37.90,45.71,51.04,51.66,43.47,42.85,50.15,66.40,46.15,45.57,51.11,62.64
  └─ YOY Sales Growth %,53.26%,20.05%,14.76%,16.40%,-9.61%,14.70%,-6.26%,-1.74%,28.53%,6.17%,6.35%,1.91%,-5.66%
Expenses,47.62,30.39,38.56,43.62,43.65,35.28,35.45,42.17,55.36,38.10,38.57,44.40,52.93
  └─ Material Cost %,20.73%,17.02%,25.62%,21.08%,29.81%,25.24%,19.21%,23.49%,33.64%,19.48%,24.07%,21.48%,26.34%
  └─ Employee Cost %,19.09%,14.56%,13.26%,16.56%,14.34%,13.83%,15.96%,14.28%,14.47%,15.60%,13.50%,16.98%,14.75%
Operating Profit,9.53,7.51,7.15,7.42,8.01,8.19,7.40,7.98,11.04,8.05,7.00,6.71,9.71
OPM %,16.68%,19.82%,15.64%,14.54%,15.51%,18.84%,17.27%,15.91%,16.63%,17.44%,15.36%,13.13%,15.50%
Other Income,0.76,0.07,0.08,0.03,4.27,0.19,1.77,0.12,2.82,0.12,2.32,4.04,3.09
  └─ Other income normal,0.76,0.07,0.08,0.03,4.27,0.19,1.77,0.12,2.82,0.12,2.32,4.04,3.09
Interest,4.07,2.96,2.53,2.34,3.21,3.08,3.08,2.85,4.05,2.86,2.78,2.70,4.05
Depreciation,3.37,2.76,2.77,2.75,3.72,3.37,3.37,3.38,4.38,3.37,3.37,3.36,4.86
Profit before tax,2.85,1.86,1.93,2.36,5.35,1.93,2.72,1.87,5.43,1.94,3.17,4.69,3.89
Tax %,4.91%,39.25%,37.82%,30.93%,77.94%,1.04%,0.74%,1.07%,36.28%,0.00%,0.00%,0.00%,62.47%
Net Profit,2.62,1.13,1.26,1.67,1.17,2.01,2.91,1.67,3.25,1.93,3.19,4.09,1.58
  └─ Profit from Associates,-0,0,0,0,0,0,0,-0,-0,-0,0,-1,0
  └─ Profit excl Excep,3,1,1,2,1,2,3,2,3,2,3,4,2
  └─ Profit for PE,3,1,1,2,1,2,3,2,3,2,3,4,2
  └─ Profit for EPS,3,1,1,2,1,2,3,2,3,2,3,4,2
  └─ YOY Profit Growth %,1036%,4%,-17%,14%,-55%,78%,131%,0%,178%,-4%,10%,145%,-51%
EPS in Rs,0.45,0.20,0.22,0.29,0.19,0.33,0.48,0.28,0.54,0.32,0.53,0.68,0.26
Raw PDF,,,,,,,,,,,,,
