Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024
  └─ Material Cost %,2.97%,1.38%,2.04%,0.56%,2.72%
  └─ Employee Cost %,16.83%,24.88%,33.33%,46.33%,36.73%
  └─ Other income normal,0.09,0.11,0.17,0.39,0.27
  └─ Profit excl Excep,0.17,0.12,0.12,0.15,0.18
  └─ Profit for PE,0.17,0.12,0.12,0.15,0.18
  └─ Profit for EPS,0.17,0.12,0.12,0.15,0.18
