Metric,Sep 2021,Sep 2022
  └─ Material Cost %,84%,85%
  └─ Employee Cost %,3%,2%
  └─ Other income normal,0.02,0.08
  └─ Profit excl Excep,0.68,1.09
  └─ Profit for PE,0.68,1.09
  └─ Profit for EPS,0.68,1.09
