Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,1.40,44.38,2.09,0.70,1.14,20.36,1.17,0.77,1.20,5.35,1.44,0.35,5.64
  └─ YOY Sales Growth %,,18%,17%,-31%,-19%,-54%,-44%,10%,5%,-74%,23%,-55%,370%
Expenses,0.76,42.88,4.43,0.78,1.94,21.49,1.83,0.97,1.23,5.27,1.57,0.60,5.56
  └─ Material Cost %,-8%,92%,107%,43%,65%,96%,77%,81%,57%,41%,80%,40%,89%
  └─ Employee Cost %,19%,1%,13%,69%,24%,4%,10%,12%,4%,1%,6%,11%,1%
Operating Profit,0.64,1.50,-2.34,-0.08,-0.80,-1.13,-0.66,-0.20,-0.03,0.08,-0.13,-0.25,0.08
OPM %,45.71%,3.38%,-111.96%,-11.43%,-70.18%,-5.55%,-56.41%,-25.97%,-2.50%,1.50%,-9.03%,-71.43%,1.42%
Other Income,0.16,1.39,5.16,0.92,1.05,-0.40,0.52,0.61,0.20,1.01,0.03,0.01,0.05
  └─ Exceptional items,0.00,0.00,1.31,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00
  └─ Other income normal,0.16,1.39,3.85,0.92,1.05,-0.40,0.02,0.61,0.20,0.51,0.03,0.01,0.05
Interest,0.07,0.03,0.00,0.01,0.00,0.24,0.04,0.04,0.06,0.04,0.04,0.02,0.03
Depreciation,0.31,0.36,0.23,0.19,0.17,0.66,0.28,0.28,0.27,0.28,0.25,0.24,0.24
Profit before tax,0.42,2.50,2.59,0.64,0.08,-2.43,-0.46,0.09,-0.16,0.77,-0.39,-0.50,-0.14
Tax %,0.00%,18.80%,28.57%,42.19%,37.50%,-20.58%,0.00%,-211.11%,-6.25%,57.14%,0.00%,0.00%,0.00%
Net Profit,0.41,2.04,1.85,0.36,0.06,-1.93,-0.46,0.27,-0.15,0.33,-0.38,-0.50,-0.14
  └─ Minority share,0.04,-0.10,0.02,0.02,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.94,0.00,0.00,0.00,0.50,0.00,0.00,0.06,0.00,0.00,0.00
  └─ Profit excl Excep,0.41,2.04,0.91,0.36,0.06,-1.93,-0.96,0.27,-0.15,0.27,-0.38,-0.50,-0.14
  └─ Profit for PE,0.45,1.94,0.93,0.38,0.06,-1.94,-0.96,0.27,-0.15,0.27,-0.38,-0.50,-0.14
  └─ Profit for EPS,0.45,1.94,1.87,0.38,0.06,-1.94,-0.46,0.27,-0.15,0.33,-0.38,-0.50,-0.14
  └─ YOY Profit Growth %,,687.88%,3000.00%,129.01%,-86.67%,-200.00%,-203.23%,-28.95%,-350.00%,113.92%,60.42%,-285.19%,6.67%
EPS in Rs,0.06,0.23,0.22,0.05,0.01,-0.21,-0.05,0.03,-0.02,0.04,-0.04,-0.05,-0.04
Raw PDF,,,,,,,,,,,,,
