Metric,Jun 2008
Sales,61.39
Expenses,60.39
  └─ Material Cost %,76%
  └─ Employee Cost %,4%
Operating Profit,1.00
OPM %,1.63%
Other Income,1.33
  └─ Other income normal,1.33
Interest,2.20
Depreciation,2.30
Profit before tax,-2.17
Tax %,-5.07%
Net Profit,-2.06
  └─ Profit excl Excep,-2.06
  └─ Profit for PE,-2.06
  └─ Profit for EPS,-2.06
EPS in Rs,-2.87
Raw PDF,
