Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,42.01,31.26,50.04,59.80,51.67,52.41,55.09,80.96,39.35,56.62,71.23,74.38,67.11
  └─ YOY Sales Growth %,21%,-10%,33%,60%,23%,68%,10%,35%,-24%,8%,29%,-8%,71%
Expenses,38.38,37.69,46.65,49.35,42.27,49.21,56.98,79.29,38.70,55.33,68.93,69.62,69.84
  └─ Employee Cost %,49%,73%,53%,51%,55%,59%,64%,55%,98%,76%,64%,73%,80%
Operating Profit,3.63,-6.43,3.39,10.45,9.40,3.20,-1.89,1.67,0.65,1.29,2.30,4.76,-2.73
OPM %,8.64%,-20.57%,6.77%,17.47%,18.19%,6.11%,-3.43%,2.06%,1.65%,2.28%,3.23%,6.40%,-4.07%
Other Income,-0.23,-0.02,0.04,-0.02,0.57,0.12,0.61,0.89,-0.16,0.52,0.32,0.31,0.69
  └─ Other income normal,-0.23,-0.02,0.04,-0.02,0.57,0.12,0.61,0.89,-0.16,0.52,0.32,0.31,0.69
Interest,0.00,0.10,0.42,0.49,0.52,0.45,0.47,0.40,0.57,0.51,0.41,0.45,0.45
Depreciation,0.22,0.25,0.27,0.68,0.39,0.43,0.52,0.56,0.69,0.77,0.80,0.84,0.83
Profit before tax,3.18,-6.80,2.74,9.26,9.06,2.44,-2.27,1.60,-0.77,0.53,1.41,3.78,-3.32
Tax %,5.35%,0.59%,6.93%,3.35%,2.10%,11.07%,13.66%,15.00%,7.79%,94.34%,50.35%,1.85%,27.71%
Net Profit,3.00,-6.84,2.56,8.94,8.87,2.16,-2.58,1.36,-0.83,0.03,0.71,3.71,-4.24
  └─ Profit excl Excep,3,-7,3,9,9,2,-3,1,-1,0,1,4,-4
  └─ Profit for PE,3,-7,3,9,9,2,-3,1,-1,0,1,4,-4
  └─ Profit for EPS,3,-7,3,9,9,2,-3,1,-1,0,1,4,-4
  └─ YOY Profit Growth %,-13%,-3520%,161%,326%,196%,132%,-201%,-85%,-109%,-99%,128%,173%,-411%
EPS in Rs,4.78,-10.90,4.08,14.25,14.14,3.44,-4.11,2.17,-1.32,0.05,1.13,5.91,-6.76
Raw PDF,,,,,,,,,,,,,
