Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.21,5.89,4.95,5.99,5.37,5.96,6.78,7.03,6.47,5.88,6.48,5.64,5.07
  └─ YOY Sales Growth %,-55.66%,17.10%,-10.81%,7.73%,67.29%,1.19%,36.97%,17.36%,20.48%,-1.34%,-4.42%,-19.77%,-21.64%
Expenses,7.43,5.91,4.73,5.73,4.82,5.85,6.60,6.89,6.39,6.13,6.18,6.21,6.08
  └─ Material Cost %,5.61%,0.51%,-1.41%,2.84%,-3.35%,0.00%,-2.06%,0.00%,0.00%,0.00%,0.00%,0.00%,10.45%
  └─ Employee Cost %,23.36%,6.45%,8.69%,5.68%,11.36%,8.72%,7.82%,8.11%,7.11%,8.33%,7.72%,8.87%,10.45%
Operating Profit,-4.22,-0.02,0.22,0.26,0.55,0.11,0.18,0.14,0.08,-0.25,0.30,-0.57,-1.01
OPM %,-131.46%,-0.34%,4.44%,4.34%,10.24%,1.85%,2.65%,1.99%,1.24%,-4.25%,4.63%,-10.11%,-19.92%
Other Income,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.02,0.02,0.00,0.00,0.02,0.17
  └─ Other income normal,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.02,0.02,0.00,0.00,0.02,0.17
Interest,0.00,0.00,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
Depreciation,0.13,0.16,0.24,0.23,0.26,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.07
Profit before tax,-4.34,-0.17,-0.03,0.02,0.26,0.07,0.07,0.04,-0.02,-0.37,0.19,-0.68,-0.91
Tax %,-11.98%,-23.53%,-133.33%,100.00%,11.54%,100.00%,-14.29%,-225.00%,-50.00%,2.70%,0.00%,0.00%,23.08%
Net Profit,-3.82,-0.13,0.02,0.00,0.24,0.00,0.07,0.13,-0.01,-0.38,0.18,-0.67,-1.12
  └─ Profit excl Excep,-4,-0,0,0,0,0,0,0,-0,-0,0,-1,-1
  └─ Profit for PE,-4,-0,0,0,0,0,0,0,-0,-0,0,-1,-1
  └─ Profit for EPS,-4,-0,0,0,0,0,0,0,-0,-0,0,-1,-1
  └─ YOY Profit Growth %,-120%,68%,117%,100%,106%,100%,250%,,-104%,,157%,-615%,-11100%
EPS in Rs,-3.74,-0.13,0.02,0.00,0.24,0.00,0.07,0.13,-0.01,-0.37,0.18,-0.65,-0.90
Raw PDF,,,,,,,,,,,,,
