Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1803,1726,1685,1220,1708,1754,1494,1430,1832,1849,1776
  └─ YOY Sales Growth %,,,,,-5.27%,1.62%,-11.30%,17.24%,7.27%,5.39%,18.89%
Expenses,1543,1443,1438,1160,1493,1575,1481,1353,1606,1612,1658
  └─ Material Cost %,47.42%,43.90%,44.42%,43.32%,44.75%,46.33%,44.79%,44.68%,45.96%,44.96%,48.32%
  └─ Employee Cost %,12.31%,13.56%,14.15%,19.21%,14.18%,13.89%,15.05%,17.03%,12.36%,12.91%,12.48%
Operating Profit,260,283,246,60,215,180,14,77,226,237,119
OPM %,14%,16%,15%,5%,13%,10%,1%,5%,12%,13%,7%
Other Income,46,33,149,29,-32,41,84,45,28,-23,-33
  └─ Exceptional items,0,0,106,-0,-59,-0,-2,0,-5,-57,-67
  └─ Other income normal,46,33,43,29,27,41,86,45,33,34,34
Interest,43,44,47,46,53,54,53,57,60,60,55
Depreciation,60,60,70,75,76,79,91,89,91,92,98
Profit before tax,203,213,278,-32,53,87,-47,-25,103,62,-68
Tax %,32%,24%,15%,-28%,20%,26%,-5%,-20%,27%,30%,-24%
Net Profit,139,162,236,-23,42,64,-45,-20,75,43,-52
  └─ Exceptional items AT,0,0,106,-0,-49,-0,-1,0,-3,-40,-63
  └─ Profit excl Excep,139,162,129,-23,91,64,-44,-20,79,82,11
  └─ Profit for PE,139,162,129,-23,91,64,-44,-20,79,82,11
  └─ Profit for EPS,139,162,236,-23,42,64,-45,-20,75,43,-52
  └─ YOY Profit Growth %,,,,,-35%,-60%,-134%,13%,-14%,28%,124%
EPS in Rs,,,,,6.92,10.53,-7.38,-3.25,12.34,7.04,-8.55
Raw PDF,,,,,,,,,,,
