Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,92.67,112.22,96.84,202.22,87.63,89.53,78.90,110.41
  └─ YOY Sales Growth %,,,,,-5.44%,-20.22%,-18.53%,-45.40%
Expenses,78.46,96.87,83.81,156.35,72.77,86.48,71.88,94.70
  └─ Material Cost %,76%,78%,74%,73%,70%,86%,75%,69%
  └─ Employee Cost %,3%,3%,3%,2%,5%,2%,5%,6%
Operating Profit,14.21,15.35,13.03,45.87,14.86,3.05,7.02,15.71
OPM %,15.33%,13.68%,13.46%,22.68%,16.96%,3.41%,8.90%,14.23%
Other Income,0.89,0.73,0.50,-0.43,1.27,0.98,-1.66,0.30
  └─ Other income normal,0.89,0.73,0.50,-0.43,1.27,0.98,-1.66,0.30
Interest,1.10,1.33,2.22,3.44,3.52,3.50,2.58,2.97
Depreciation,1.69,1.84,1.89,1.92,1.82,3.05,8.71,9.01
Profit before tax,12.31,12.91,9.42,40.08,10.79,-2.52,-5.93,4.03
Tax %,30.30%,24.63%,20.81%,31.11%,25.95%,2.38%,-15.85%,74.94%
Net Profit,8.59,9.74,7.46,27.60,7.98,-2.58,-4.99,1.01
  └─ Profit excl Excep,9,10,7,28,8,-3,-5,1
  └─ Profit for PE,9,10,7,28,8,-3,-5,1
  └─ Profit for EPS,9,10,7,28,8,-3,-5,1
  └─ YOY Profit Growth %,,,,,-7%,-126%,-167%,-96%
EPS in Rs,1.83,2.08,1.59,5.89,1.70,-0.49,-0.96,0.19
Raw PDF,,,,,,,,
