Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,12.89,29.16,23.07,34.92,36.02,55.69
Expenses,13.66,28.52,26.00,32.97,36.32,55.13
  └─ Material Cost %,85%,85%,86%,79%,89%,90%
  └─ Employee Cost %,13%,7%,16%,11%,8%,6%
Operating Profit,-0.77,0.64,-2.93,1.95,-0.30,0.56
OPM %,-5.97%,2.19%,-12.70%,5.58%,-0.83%,1.01%
Other Income,0.13,0.35,0.26,0.22,0.49,0.05
  └─ Other income normal,0.13,0.35,0.26,0.22,0.49,0.05
Interest,0.00,0.00,0.03,0.05,0.06,0.06
Depreciation,0.13,0.17,0.18,0.20,0.26,0.09
Profit before tax,-0.77,0.82,-2.88,1.92,-0.13,0.46
Tax %,0.00%,1.22%,0.00%,-0.52%,-15.38%,30.43%
Net Profit,-0.77,0.81,-2.88,1.93,-0.12,0.32
  └─ Profit excl Excep,-0.77,0.81,-2.88,1.93,-0.12,0.32
  └─ Profit for PE,-0.77,0.81,-2.88,1.93,-0.12,0.32
  └─ Profit for EPS,-0.77,0.81,-2.88,1.93,-0.12,0.32
EPS in Rs,-2.50,2.63,-9.34,6.26,-0.39,1.04
Raw PDF,,,,,,
