Metric,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012
Sales,10.91,9.84,5.01,4.58,4.13,3.95,3.34,3.56,3.21,2.68,3.53,3.46,2.72
  └─ YOY Sales Growth %,-75.47%,-49.46%,-50.25%,-54.38%,-62.14%,-59.86%,-33.33%,-22.27%,-22.28%,-32.15%,5.69%,-2.81%,-15.26%
Expenses,9.62,9.36,5.63,4.65,4.49,3.87,3.77,25.07,3.21,24.02,2.07,3.36,2.58
  └─ Employee Cost %,79%,76%,84%,75%,84%,67%,76%,67%,74%,64%,75%,69%,64%
Operating Profit,1.29,0.48,-0.62,-0.07,-0.36,0.08,-0.43,-21.51,0.00,-21.34,1.46,0.10,0.14
OPM %,11.82%,4.88%,-12.38%,-1.53%,-8.72%,2.03%,-12.87%,-604.21%,0.00%,-796.27%,41.36%,2.89%,5.15%
Other Income,-0.54,-4.25,0.00,-5.99,-5.00,-82.63,0.00,-1.15,-0.12,21.95,-1.13,0.04,0.01
  └─ Exceptional items,-0.54,-4.25,0.00,-6.00,-5.00,-82.64,0.00,-1.16,-0.12,21.86,-1.16,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.09,0.03,0.04,0.01
Interest,3.61,3.03,3.01,3.06,3.16,3.16,3.26,3.39,3.45,4.11,3.57,3.70,3.78
Depreciation,1.33,1.12,0.90,1.00,1.01,0.49,0.52,0.48,0.48,0.40,0.47,0.47,0.47
Profit before tax,-4.19,-7.92,-4.53,-10.12,-9.53,-86.20,-4.21,-26.53,-4.05,-3.90,-3.71,-4.03,-4.10
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-4.19,-7.92,-4.53,-10.12,-9.53,-86.20,-4.21,-26.53,-4.05,-3.90,-3.71,-4.03,-4.10
  └─ Exceptional items AT,-0.54,-4.25,0.00,-6.00,-5.00,-82.64,0.00,-1.16,-0.12,21.86,-1.16,0.00,0.00
  └─ Profit excl Excep,-3.65,-3.67,-4.53,-4.12,-4.53,-3.56,-4.21,-25.37,-3.93,-25.76,-2.55,-4.03,-4.10
  └─ Profit for PE,-3.65,-3.67,-4.53,-4.12,-4.53,-3.56,-4.21,-25.37,-3.93,-25.76,-2.55,-4.03,-4.10
  └─ Profit for EPS,-4.19,-7.92,-4.53,-10.12,-9.53,-86.20,-4.21,-26.53,-4.05,-3.90,-3.71,-4.03,-4.10
  └─ YOY Profit Growth %,16.48%,50.27%,32.79%,-20.12%,-24.11%,3.00%,7.06%,-515.78%,13.25%,-623.60%,39.43%,84.12%,-4.33%
EPS in Rs,-1.56,-2.95,-1.69,-3.77,-3.55,-32.15,-1.57,-9.89,-1.51,-1.45,-1.38,-1.50,-1.53
Raw PDF,,,,,,,,,,,,,
