Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,56.36,6.52,6.81,7.92,2.66,6.03,0.18,10.98,4.65,25.98,0.90,1.98,3.80
  └─ YOY Sales Growth %,,,-3.13%,98.00%,-95.28%,-7.52%,-97.36%,38.64%,74.81%,330.85%,400.00%,-81.97%,-18.28%
Expenses,11.94,11.66,9.09,11.93,8.78,7.52,3.26,10.32,4.12,12.70,4.11,3.77,4.21
  └─ Material Cost %,6.65%,71.93%,46.40%,84.09%,152.26%,53.40%,544.44%,67.21%,24.09%,28.37%,123.33%,31.31%,23.16%
  └─ Employee Cost %,3.81%,23.31%,33.19%,24.75%,61.28%,21.56%,655.56%,12.02%,24.09%,4.50%,118.89%,50.51%,26.32%
Operating Profit,44.42,-5.14,-2.28,-4.01,-6.12,-1.49,-3.08,0.66,0.53,13.28,-3.21,-1.79,-0.41
OPM %,78.81%,-78.83%,-33.48%,-50.63%,-230.08%,-24.71%,-1711.11%,6.01%,11.40%,51.12%,-356.67%,-90.40%,-10.79%
Other Income,-8.76,18.70,0.34,0.16,22.65,0.37,0.08,2.70,0.08,-1.90,0.76,5.43,0.03
  └─ Exceptional items,-9.87,17.69,0.00,0.00,21.65,0.00,0.00,0.00,0.00,-3.14,0.00,5.37,0.00
  └─ Other income normal,1.11,1.01,0.34,0.16,1.00,0.37,0.08,2.70,0.08,1.24,0.76,0.06,0.03
Interest,5.43,0.69,3.26,4.02,2.31,1.23,1.10,1.15,1.03,0.96,0.99,1.18,1.03
Depreciation,0.16,0.16,0.27,0.22,0.27,0.25,0.11,0.12,0.12,0.12,0.11,0.14,0.14
Profit before tax,30.07,12.71,-5.47,-8.09,13.95,-2.60,-4.21,2.09,-0.54,10.30,-3.55,2.32,-1.55
Tax %,0.00%,5.04%,0.00%,-7.91%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,26.29%,0.00%
Net Profit,30.08,12.08,-5.47,-7.45,13.95,-2.62,-4.21,2.08,-0.54,10.30,-3.55,1.72,-1.55
  └─ Exceptional items AT,-10,17,0,0,22,0,0,0,0,-3,0,5,0
  └─ Profit excl Excep,40,-5,-5,-7,-8,-3,-4,2,-1,13,-4,-3,-2
  └─ Profit for PE,40,-5,-5,-7,-8,-3,-4,2,-1,13,-4,-3,-2
  └─ Profit for EPS,30,12,-5,-7,14,-3,-4,2,-1,10,-4,2,-2
  └─ YOY Profit Growth %,,,25%,2%,-119%,47%,23%,128%,93%,613%,16%,-246%,-187%
EPS in Rs,17.08,6.86,-3.11,-4.23,7.92,-1.49,-2.39,1.18,-0.31,5.85,-2.02,0.98,-0.88
Raw PDF,,,,,,,,,,,,,
