Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025
Sales,19.85,36.72,26.25,52.50,43.80
Expenses,18.24,32.70,23.49,47.04,38.83
  └─ Material Cost %,58%,57%,41%,62%,54%
  └─ Employee Cost %,26%,26%,40%,22%,28%
Operating Profit,1.61,4.02,2.76,5.46,4.97
OPM %,8.11%,10.95%,10.51%,10.40%,11.35%
Other Income,0.48,0.44,0.76,0.82,0.69
  └─ Exceptional items,0.00,0.00,0.00,-0.04,0.03
  └─ Other income normal,0.48,0.44,0.76,0.86,0.66
Interest,0.75,1.10,0.94,1.79,1.95
Depreciation,0.17,0.40,0.47,0.54,0.54
Profit before tax,1.17,2.96,2.11,3.95,3.17
Tax %,29.06%,26.35%,26.54%,28.35%,23.97%
Net Profit,0.82,2.19,1.55,2.83,2.41
  └─ Minority share,0.00,-0.12,-0.04,0.00,-0.01
  └─ Exceptional items AT,0.00,0.00,0.00,-0.03,0.03
  └─ Profit excl Excep,0.82,2.19,1.55,2.86,2.38
  └─ Profit for PE,0.82,2.07,1.51,2.86,2.37
  └─ Profit for EPS,0.82,2.07,1.51,2.83,2.40
EPS in Rs,0.61,1.12,0.82,1.45,1.23
Raw PDF,,,,,
