Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,128.39,137.06,141.47,153.51,168.11,182.55,185.27,190.70,210.65,212.66,216.19
  └─ YOY Sales Growth %,,,,,30.94%,33.19%,30.96%,24.23%,25.30%,16.49%,16.69%
Expenses,123.53,131.59,134.23,147.00,160.85,174.54,175.88,181.56,200.70,201.44,202.72
  └─ Material Cost %,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
  └─ Employee Cost %,92%,93%,92%,93%,93%,93%,92%,93%,93%,93%,91%
Operating Profit,4.86,5.47,7.24,6.51,7.26,8.01,9.39,9.14,9.95,11.22,13.47
OPM %,3.79%,3.99%,5.12%,4.24%,4.32%,4.39%,5.07%,4.79%,4.72%,5.28%,6.23%
Other Income,0.60,0.41,0.14,0.14,0.23,0.22,0.21,0.59,0.62,0.20,0.28
  └─ Other income normal,0.60,0.41,0.14,0.14,0.23,0.22,0.21,0.59,0.62,0.20,0.28
Interest,2.67,2.70,2.70,2.80,3.06,3.23,3.34,3.31,3.25,3.26,4.41
Depreciation,0.76,0.89,1.16,0.94,1.09,1.32,1.14,0.91,0.93,1.03,1.02
Profit before tax,2.03,2.29,3.52,2.91,3.34,3.68,5.12,5.51,6.39,7.13,8.32
Tax %,-113.30%,-17.47%,21.59%,-14.43%,-17.96%,-23.10%,-18.16%,-11.43%,-10.49%,-4.07%,9.62%
Net Profit,4.33,2.69,2.76,3.32,3.93,4.53,6.05,6.13,7.06,7.43,7.52
  └─ Profit excl Excep,4.33,2.69,2.76,3.32,3.93,4.53,6.05,6.13,7.06,7.43,7.52
  └─ Profit for PE,4.33,2.69,2.76,3.32,3.93,4.53,6.05,6.13,7.06,7.43,7.52
  └─ Profit for EPS,4.33,2.69,2.76,3.32,3.93,4.53,6.05,6.13,7.06,7.43,7.52
  └─ YOY Profit Growth %,,,,,-9.24%,68.40%,119.20%,84.64%,79.64%,64.02%,24.30%
EPS in Rs,1.42,0.88,0.91,1.09,1.29,1.49,1.99,2.02,2.32,2.44,2.47
Raw PDF,,,,,,,,,,,
