Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1147,996,988,888,1051,1145,993,1058,1151,1100,1033,835,1256
  └─ YOY Sales Growth %,-36.53%,-29.40%,-17.30%,-25.28%,-8.38%,14.90%,0.51%,19.08%,9.53%,-3.93%,4.07%,-21.03%,9.09%
Expenses,1049,1031,942,895,1030,1021,967,1026,1114,1083,990,892,1061
  └─ Material Cost %,65%,73%,66%,68%,69%,60%,63%,65%,66%,67%,62%,69%,58%
  └─ Employee Cost %,3%,4%,4%,5%,5%,5%,7%,6%,6%,6%,6%,8%,6%
Operating Profit,97,-35,46,-7,21,124,26,32,37,17,43,-57,194
OPM %,8%,-3%,5%,-1%,2%,11%,3%,3%,3%,2%,4%,-7%,15%
Other Income,31,18,37,13,13,12,11,11,14,9,7,5,-143
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,0,0,-150
  └─ Other income normal,31,18,37,13,13,12,11,11,14,9,7,5,7
Interest,38,44,39,47,51,59,57,59,62,59,60,58,58
Depreciation,33,32,35,38,46,45,45,47,62,53,52,53,55
Profit before tax,56,-93,9,-78,-63,32,-65,-63,-73,-86,-62,-163,-61
Tax %,18%,-31%,-182%,14%,-51%,26%,-52%,-22%,-26%,-26%,-18%,-27%,-26%
Net Profit,46,-64,26,-89,-31,24,-31,-49,-54,-64,-51,-119,-45
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,-150
  └─ Profit excl Excep,46,-64,26,-89,-31,24,-31,-49,-54,-64,-51,-119,105
  └─ Profit for PE,46,-64,26,-89,-31,24,-31,-49,-54,-64,-51,-119,105
  └─ Profit for EPS,46,-64,26,-89,-31,24,-31,-49,-54,-64,-51,-119,-45
  └─ YOY Profit Growth %,-80%,-162%,-32%,-429%,-168%,137%,-220%,45%,-74%,-369%,-63%,-144%,293%
EPS in Rs,2.91,-4.05,1.65,-5.65,-1.97,1.51,-1.98,-3.09,-3.43,-4.06,-3.23,-7.54,-2.87
Raw PDF,,,,,,,,,,,,,
