Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,145,149,150,149,154,163,168
  └─ YOY Sales Growth %,,,,,6.47%,9.42%,11.88%
Expenses,118,123,122,119,125,132,136
  └─ Material Cost %,44.96%,43.17%,41.88%,40.61%,41.56%,38.60%,40.44%
  └─ Employee Cost %,9.95%,11.08%,11.05%,10.56%,10.27%,10.02%,10.33%
Operating Profit,27,26,28,30,30,31,31
OPM %,18%,17%,19%,20%,19%,19%,19%
Other Income,3,2,4,3,3,3,3
  └─ Other income normal,2.89,2.49,4.39,2.79,2.89,2.64,3.20
Interest,0,0,0,0,0,0,0
Depreciation,5,5,5,5,5,5,5
Profit before tax,24,23,27,28,27,28,29
Tax %,27%,28%,26%,27%,24%,26%,27%
Net Profit,17,16,20,20,21,21,21
  └─ Profit excl Excep,17.49,16.41,19.89,20.25,20.62,20.69,21.10
  └─ Profit for PE,17.49,16.41,19.89,20.25,20.62,20.69,21.10
  └─ Profit for EPS,17.49,16.41,19.89,20.25,20.62,20.69,21.10
  └─ YOY Profit Growth %,,,,,17.90%,26.08%,6.08%
EPS in Rs,8.89,8.34,5.05,5.15,5.24,5.26,5.36
Raw PDF,,,,,,,
