Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.35,0.65,0.00,3.70,0.24,0.10,0.15,0.15
  └─ YOY Sales Growth %,,,,,,-31%,-85%,,-96%
Expenses,0.04,0.11,0.14,0.11,3.40,0.13,0.20,0.20,0.17
  └─ Material Cost %,,0%,0%,,83%,0%,0%,0%,0%
  └─ Employee Cost %,,3%,5%,,1%,21%,70%,47%,53%
Operating Profit,-0.04,0.24,0.51,-0.11,0.30,0.11,-0.10,-0.05,-0.02
OPM %,,68.57%,78.46%,,8.11%,45.83%,-100.00%,-33.33%,-13.33%
Other Income,0.16,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17
  └─ Other income normal,0.16,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17
Interest,0.02,0.00,0.00,0.08,0.03,0.03,0.04,0.07,0.07
Depreciation,0.04,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.06,0.23,0.49,-0.22,0.24,0.05,-0.14,-0.06,0.05
Tax %,16.67%,43.48%,22.45%,0.00%,83.33%,-100.00%,-57.14%,250.00%,0.00%
Net Profit,0.04,0.14,0.38,-0.22,0.04,0.10,-0.05,-0.21,0.05
  └─ Profit excl Excep,0.04,0.14,0.38,-0.22,0.04,0.10,-0.05,-0.21,0.05
  └─ Profit for PE,0.04,0.14,0.38,-0.22,0.04,0.10,-0.05,-0.21,0.05
  └─ Profit for EPS,0.04,0.14,0.38,-0.22,0.04,0.10,-0.05,-0.21,0.05
  └─ YOY Profit Growth %,,,,,0.00%,-28.57%,-113.16%,4.55%,25.00%
EPS in Rs,0.03,0.10,0.27,-0.05,0.01,0.02,-0.01,-0.04,0.01
Raw PDF,,,,,,,,,
