Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2023,Jun 2024,Dec 2024,Jun 2025
Sales,103,168,225,278,283,371,,,,
  └─ YOY Sales Growth %,,,,60.07%,26.52%,,,,71.46%,24.87%
Expenses,90,151,193,234,232,302,,,,
  └─ Employee Cost %,2.41%,2.17%,1.77%,1.93%,2.11%,2.30%,,,,
Operating Profit,13,16,32,44,51,69,,,,
OPM %,13%,10%,14%,16%,18%,19%,,,,
Other Income,0,2,0,0,0,0,,,,
  └─ Other income normal,0.29,2.20,0.18,0.19,0.18,0.21,,,,
Interest,2,1,1,4,7,9,,,,
Depreciation,0,0,1,2,3,5,,,,
Profit before tax,12,17,30,38,42,56,,,,
Tax %,20%,22%,22%,24%,22%,22%,,,,
Net Profit,9,13,23,29,32,43,,,,
  └─ Profit excl Excep,9.31,13.30,23.44,29.05,32.38,43.43,,,,
  └─ Profit for PE,9.31,13.30,23.44,29.05,32.38,43.43,,,,
  └─ Profit for EPS,9.31,13.30,23.44,29.05,32.38,43.43,,,,
EPS in Rs,8.75,9.18,16.18,19.01,21.17,28.40,,,,
Raw PDF,,,,,,,,,,
