Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,163.32,190.98,182.35,191.74,191.03,186.40,181.89,174.77,175.31,183.07
  └─ YOY Sales Growth %,,,,,16.97%,-2.40%,-0.25%,-8.85%,-8.23%,-1.79%
Expenses,146.04,195.91,166.92,185.27,183.37,179.75,172.59,173.27,163.41,165.13
  └─ Material Cost %,64%,70%,66%,72%,68%,69%,68%,73%,66%,62%
  └─ Employee Cost %,10%,9%,9%,9%,10%,10%,10%,10%,11%,10%
Operating Profit,17.28,-4.93,15.43,6.47,7.66,6.65,9.30,1.50,11.90,17.94
OPM %,10.58%,-2.58%,8.46%,3.37%,4.01%,3.57%,5.11%,0.86%,6.79%,9.80%
Other Income,3.74,5.06,3.82,-6.02,-6.41,18.62,3.02,4.35,1.37,18.49
  └─ Exceptional items,0.00,0.00,0.00,-9.91,-9.93,13.79,0.00,0.00,-1.72,0.08
  └─ Other income normal,3.74,5.06,3.82,3.89,3.52,4.83,3.02,4.35,3.09,18.41
Interest,21.08,21.81,20.97,21.43,20.14,19.26,19.05,19.57,17.56,18.25
Depreciation,10.05,12.81,10.80,10.35,11.02,11.03,10.93,11.56,11.27,11.14
Profit before tax,-10.11,-34.49,-12.52,-31.33,-29.91,-5.02,-17.66,-25.28,-15.56,7.04
Tax %,34.92%,-48.07%,40.65%,-9.48%,-37.95%,-145.02%,-23.22%,-1.54%,0.26%,0.00%
Net Profit,-13.64,-17.91,-17.61,-28.36,-18.56,2.26,-13.56,-24.89,-15.60,7.04
  └─ Exceptional items AT,0,0,0,-10,-10,14,0,0,-2,0
  └─ Profit excl Excep,-14,-18,-18,-18,-9,-12,-14,-25,-14,7
  └─ Profit for PE,-14,-18,-18,-18,-9,-12,-14,-25,-14,7
  └─ Profit for EPS,-14,-18,-18,-28,-19,2,-14,-25,-16,7
  └─ YOY Profit Growth %,,,,,37%,36%,23%,-35%,-61%,160%
EPS in Rs,-10.39,-13.64,-13.41,-21.59,-14.13,1.55,-9.27,-17.02,-10.67,4.42
Raw PDF,,,,,,,,,,
