Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,91.54,78.38,80.67,73.33,78.40,58.43,35.55,1.37,0.88,1.28,0.00,1.45,0.07
  └─ YOY Sales Growth %,-36%,-32%,-19%,-16%,-14%,-25%,-56%,-98%,-99%,-98%,-100%,6%,-92%
Expenses,89.89,76.37,78.65,70.86,82.81,67.51,42.91,16.53,3.00,1.48,0.86,0.64,2.31
  └─ Material Cost %,70%,68%,71%,69%,77%,86%,89%,903%,108%,49%,,19%,2086%
  └─ Employee Cost %,5%,5%,5%,5%,5%,5%,7%,66%,108%,46%,,6%,329%
Operating Profit,1.65,2.01,2.02,2.47,-4.41,-9.08,-7.36,-15.16,-2.12,-0.20,-0.86,0.81,-2.24
OPM %,1.80%,2.56%,2.50%,3.37%,-5.62%,-15.54%,-20.70%,-1106.57%,-240.91%,-15.62%,,55.86%,-3200.00%
Other Income,0.30,0.04,0.19,0.03,0.53,0.25,0.11,0.00,0.11,0.00,0.00,0.00,0.00
  └─ Other income normal,0.30,0.04,0.19,0.03,0.53,0.25,0.11,0.00,0.11,0.00,0.00,0.00,0.00
Interest,3.22,2.65,2.80,2.85,2.93,2.70,3.05,2.91,3.53,3.18,2.13,4.10,2.15
Depreciation,1.74,1.89,1.79,1.80,1.78,1.91,1.79,1.79,1.74,1.89,1.77,1.77,1.73
Profit before tax,-3.01,-2.49,-2.38,-2.15,-8.59,-13.44,-12.09,-19.86,-7.28,-5.27,-4.76,-5.06,-6.12
Tax %,-54.15%,-24.50%,-30.25%,-28.84%,-28.75%,-29.24%,-34.41%,40.74%,55.63%,0.00%,0.00%,0.00%,0.00%
Net Profit,-1.39,-1.89,-1.66,-1.54,-6.13,-9.51,-7.92,-27.95,-11.33,-5.26,-4.75,-5.06,-6.11
  └─ Profit excl Excep,-1.39,-1.89,-1.66,-1.54,-6.13,-9.51,-7.92,-27.95,-11.33,-5.26,-4.75,-5.06,-6.11
  └─ Profit for PE,-1.39,-1.89,-1.66,-1.54,-6.13,-9.51,-7.92,-27.95,-11.33,-5.26,-4.75,-5.06,-6.11
  └─ Profit for EPS,-1.39,-1.89,-1.66,-1.54,-6.13,-9.51,-7.92,-27.95,-11.33,-5.26,-4.75,-5.06,-6.11
  └─ YOY Profit Growth %,-120.44%,51.66%,86.25%,76.60%,-341.01%,-403.17%,-377.11%,-1714.94%,-84.83%,44.69%,40.03%,81.90%,46.07%
EPS in Rs,-0.30,-0.41,-0.36,-0.33,-1.32,-2.05,-1.70,-6.01,-2.44,-1.13,-1.02,-1.09,-1.31
Raw PDF,,,,,,,,,,,,,
