Metric,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.49,1.20,1.20,5.76
Expenses,3.21,3.24,3.22,8.98
  └─ Material Cost %,0.00%,0.00%,0.00%,16.67%
  └─ Employee Cost %,240.82%,126.67%,120.00%,39.41%
Operating Profit,-2.72,-2.04,-2.02,-3.22
OPM %,-555.10%,-170.00%,-168.33%,-55.90%
Other Income,0.30,0.21,0.23,1.13
  └─ Other income normal,0.30,0.21,0.23,1.13
Interest,0.66,0.84,0.59,0.50
Depreciation,0.70,0.85,0.87,0.86
Profit before tax,-3.78,-3.52,-3.25,-3.45
Tax %,0.00%,0.00%,0.00%,0.00%
Net Profit,-3.78,-3.53,-3.25,-3.45
  └─ Minority share,0.32,0.33,0.00,0.00
  └─ Profit excl Excep,-3.78,-3.53,-3.25,-3.45
  └─ Profit for PE,-3.46,-3.20,-3.25,-3.45
  └─ Profit for EPS,-3.46,-3.20,-3.25,-3.45
EPS in Rs,-3.13,-2.90,-2.70,-2.67
Raw PDF,,,,
