Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,41.21,46.81,75.49,86.64,76.30,76.88,69.74,69.53,89.74,66.10,93.29,77.99
  └─ YOY Sales Growth %,,,,,85.15%,64.24%,-7.62%,-19.75%,17.61%,-14.02%,33.77%,12.17%
Expenses,32.59,33.63,59.98,72.78,61.50,61.64,57.14,55.96,76.30,57.16,79.10,66.77
  └─ Material Cost %,68%,63%,76%,78%,73%,74%,74%,69%,75%,74%,75%,74%
  └─ Employee Cost %,3%,3%,1%,4%,4%,3%,6%,7%,5%,6%,5%,5%
Operating Profit,8.62,13.18,15.51,13.86,14.80,15.24,12.60,13.57,13.44,8.94,14.19,11.22
OPM %,20.92%,28.16%,20.55%,16.00%,19.40%,19.82%,18.07%,19.52%,14.98%,13.52%,15.21%,14.39%
Other Income,0.25,0.04,0.96,0.35,0.04,0.10,1.20,1.17,0.74,0.75,0.39,0.94
  └─ Other income normal,0.25,0.04,0.96,0.35,0.04,0.10,1.20,1.17,0.74,0.75,0.39,0.94
Interest,2.81,2.90,3.15,2.73,2.41,2.42,0.60,0.81,0.34,0.46,0.77,0.22
Depreciation,0.60,0.69,0.79,1.82,0.84,0.77,0.61,0.93,1.09,1.07,1.10,0.94
Profit before tax,5.46,9.63,12.53,9.66,11.59,12.15,12.59,13.00,12.75,8.16,12.71,11.00
Tax %,21.61%,12.05%,14.13%,27.54%,23.21%,21.07%,13.50%,28.69%,26.98%,14.71%,17.47%,18.82%
Net Profit,4.28,8.46,10.76,7.00,8.91,9.60,10.89,9.28,9.30,6.95,10.49,8.94
  └─ Profit excl Excep,4.28,8.46,10.76,7.00,8.91,9.60,10.89,9.28,9.30,6.95,10.49,8.94
  └─ Profit for PE,4.28,8.46,10.76,7.00,8.91,9.60,10.89,9.28,9.30,6.95,10.49,8.94
  └─ Profit for EPS,4.28,8.46,10.76,7.00,8.91,9.60,10.89,9.28,9.30,6.95,10.49,8.94
  └─ YOY Profit Growth %,,,,,108.18%,13.48%,1.21%,32.57%,4.38%,-27.60%,-3.67%,-3.66%
EPS in Rs,85.60,169.20,3.51,2.28,2.91,2.43,2.76,2.35,2.35,1.76,2.66,2.26
Raw PDF,,,,,,,,,,,,
