bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Britannia Industries Limited,31-Jul-2026,1,-,INE216A01014,-,-,31-Jul-2026,EQ,Dividend - Rs 90.50 Per Share,BRITANNIA
-,-,,Britannia Industries Limited,04-Aug-2025,1,-,INE216A01014,-,-,04-Aug-2025,EQ,Dividend - Rs 75 Per Share,BRITANNIA
12-Aug-2024,06-Aug-2024,,Britannia Industries Limited,05-Aug-2024,1,-,INE216A01014,-,-,-,EQ,Annual General Meeting/ Dividend - Rs 73.5 Per Share,BRITANNIA
28-Aug-2023,22-Aug-2023,,Britannia Industries Limited,21-Aug-2023,1,-,INE216A01014,-,-,-,EQ,Annual General Meeting,BRITANNIA
-,-,,Britannia Industries Limited,13-Apr-2023,1,-,INE216A01014,-,-,13-Apr-2023,EQ,Interim Dividend - Rs 72 Per Share,BRITANNIA
28-Jun-2022,22-Jun-2022,,Britannia Industries Limited,20-Jun-2022,1,-,INE216A01014,-,-,-,EQ,Annual General Meeting/Dividend - Rs 56.50 Per Share,BRITANNIA
06-Sep-2021,01-Sep-2021,,Britannia Industries Limited,30-Aug-2021,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting,BRITANNIA
-,-,,Britannia Industries Limited,25-May-2021,1,-,INE216A01014,-,-,27-May-2021,EQ, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,BRITANNIA
-,-,,Britannia Industries Limited,25-May-2021,1,-,INE216A01014,-,-,27-May-2021,EQ, Dividend - Rs 12.50 Per Share Pursuant To Scheme,BRITANNIA
-,-,,Britannia Industries Limited,08-Apr-2021,1,-,INE216A01014,-,-,10-Apr-2021,EQ, Interim Dividend - Rs 62 Per Share,BRITANNIA
-,-,,Britannia Industries Limited,26-Aug-2020,1,-,INE216A01014,-,-,27-Aug-2020,EQ, Interim Dividend - Rs 83 Per Share,BRITANNIA
07-Jul-2020,01-Jul-2020,,Britannia Industries Limited,29-Jun-2020,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting,BRITANNIA
-,-,,Britannia Industries Limited,29-Apr-2020,1,-,INE216A01014,-,-,02-May-2020,EQ, Interim Dividend-Rs 35 Per Share,BRITANNIA
-,-,,Britannia Industries Limited,22-Aug-2019,1,-,INE216A01014,-,-,23-Aug-2019,EQ, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,BRITANNIA
09-Aug-2019,03-Aug-2019,,Britannia Industries Limited,01-Aug-2019,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting/ Dividend - Rs 15 Per Share,BRITANNIA
-,-,,Britannia Industries Limited,29-Nov-2018,1,-,INE216A01014,-,-,30-Nov-2018,EQ, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,BRITANNIA
06-Aug-2018,31-Jul-2018,,Britannia Industries Limited,27-Jul-2018,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting / Dividend- Rs 25 Per Share,BRITANNIA
07-Aug-2017,01-Aug-2017,,Britannia Industries Limited,28-Jul-2017,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting/Dividend - Rs 22/- Per Share,BRITANNIA
08-Aug-2016,02-Aug-2016,,Britannia Industries Limited,29-Jul-2016,1,-,INE216A01014,-,-,-,EQ, Annual General Meeting/Dividend Rs 20/- Per Share,BRITANNIA
04-Aug-2015,29-Jul-2015,,Britannia Industries Limited,27-Jul-2015,1,-,INE216A01014,-,-,-,EQ,Annual General Meeting/Dividend - Rs 16/- Per Share,BRITANNIA
