exDate,recDate,subject,faceVal
11-Jul-2026 07:52:30,11-Jul-2026 07:52:30,Record Date,1
21-Apr-2026 16:03:54,21-Apr-2026 16:03:54,Dividend,1
21-Apr-2026 15:38:25,21-Apr-2026 15:38:25,Dividend,1
20-Jan-2026 16:20:42,20-Jan-2026 16:20:42,Dividend,1
20-Jan-2026 16:16:12,20-Jan-2026 16:16:12,Record Date,1
23-Jun-2025 23:50:06,23-Jun-2025 23:50:06,Record Date,1
24-Apr-2025 05:55:19,24-Apr-2025 05:55:19,Dividend,1
24-Apr-2025 05:12:19,24-Apr-2025 05:12:19,Dividend,1
22-Jan-2025 16:08:38,22-Jan-2025 16:08:38,Record Date,1
22-Jan-2025 15:41:02,22-Jan-2025 15:41:02,Dividend,1
22-Jan-2025 15:36:28,22-Jan-2025 15:36:28,Dividend,1
20-Jun-2024 22:13:01,20-Jun-2024 22:13:01,Record Date,1
20-Jun-2024 22:09:12,20-Jun-2024 22:09:12,Book Closure,1
21-Apr-2024 19:43:58,21-Apr-2024 19:43:58,Dividend Updates,1
21-Apr-2024 19:40:30,21-Apr-2024 19:40:30,Dividend,1
20-Mar-2024 19:07:48,20-Mar-2024 19:07:48,Dividend Updates,1
20-Jan-2024 16:16:13,20-Jan-2024 16:16:13,Dividend Updates,1
20-Jan-2024 16:08:45,20-Jan-2024 16:08:45,Stock split,1
15-Jan-2024 20:31:32,15-Jan-2024 20:31:32,Record Date,1
21-Jun-2023 19:06:19,21-Jun-2023 19:06:19,Book Closure,1
25-Apr-2023 03:07:40,25-Apr-2023 03:07:40,Dividend Updates,1
25-Apr-2023 02:29:36,25-Apr-2023 02:29:36,Dividend,1
12-Apr-2023 19:49:13,12-Apr-2023 19:49:13,Dividend Updates,1
18-Jan-2023 16:26:35,18-Jan-2023 16:26:35,Dividend Updates,1
18-Jan-2023 16:24:44,18-Jan-2023 16:24:44,Dividend,1
11-Jan-2023 14:50:15,11-Jan-2023 14:50:15,Record Date,1
27-Apr-2022 17:39:28,27-Apr-2022 17:39:28,Dividend,1
27-Apr-2022 17:31:10,27-Apr-2022 17:31:10,Dividend,1
27-Apr-2022 17:31:09,27-Apr-2022 17:31:09,Outcome of Board Meeting,1
20-Jan-2022 20:16:20,20-Jan-2022 20:16:20,Date of payment of dividend,1
20-Jan-2022 20:05:58,20-Jan-2022 20:05:58,Dividend,1
17-Jan-2022 16:32:06,17-Jan-2022 16:32:06,Record Date,1
05-Jul-2021 15:57:52,05-Jul-2021 15:57:52,Book Closure,1
29-Apr-2021 19:18:19,29-Apr-2021 19:18:19,Dividend Updates,1
29-Apr-2021 19:11:25,29-Apr-2021 19:11:25,Dividend,1
28-Jan-2021 22:52:03,28-Jan-2021 22:52:03,Record Date,1
28-Jan-2021 22:50:24,28-Jan-2021 22:50:24,Dividend Updates,1
28-Jan-2021 22:44:28,28-Jan-2021 22:44:28,Dividend,1
19-Jan-2021 18:17:09,19-Jan-2021 18:17:09,Dividend Updates,1
