bm_date,bm_purpose,bm_desc,attachment
26-Aug-2026 20:49:34,Shareholders meeting,"FSN E Commerce Ventures Limited has submitted the Exchange a copy Srutinizers' Report and Voting Results of 14th Annual General Meeting held on August 25, 2026.",https://nsearchives.nseindia.com/corporate/NYKAA_26082026204854_Scrutinizers_Report_and_Voting_Result.pdf
04-Aug-2026 16:14:17,Outcome of Board Meeting,"FSN E Commerce Ventures Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026 and details of acquisition.",https://nsearchives.nseindia.com/corporate/NYKAA_04082026161156_OutcomeofBMvF.pdf
23-Jul-2026 20:01:47,Outcome of Board Meeting,"FSN E Commerce Ventures Limited has informed the Exchange regarding Outcome of Board Meeting held on July 23, 2026.",https://nsearchives.nseindia.com/corporate/NYKAA_23072026200124_FinalOutcomeofBM23072026.pdf
