Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,1282,1704,2461,2669,3487,5167,5752,6059
  └─ Sales Growth %,,32.91%,44.40%,8.44%,30.67%,48.17%,11.34%,5.33%
Interest,417,584,933,987,1216,1738,1955,1899
Expenses,361,640,1308,1235,1179,1444,3030,3067
  └─ Manufacturing Cost %,0.53%,0.58%,0.70%,0.96%,1.08%,0.96%,1.06%,0.00%
  └─ Employee Cost %,14.59%,15.41%,15.49%,16.45%,14.84%,13.00%,12.75%,14.51%
  └─ Other Cost %,13.00%,21.54%,36.98%,28.86%,17.91%,13.98%,38.87%,36.11%
Financing Profit,504,481,219,447,1092,1984,767,1093
Financing Margin %,39%,28%,9%,17%,31%,38%,13%,18%
Other Income,1,1,5,81,64,6,4,4
  └─ Exceptional items,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,1.13,1.17,5.07,81.46,63.76,5.98,3.81,3.62
Depreciation,8,20,44,47,50,51,62,63
Profit before tax,498,462,180,481,1105,1939,709,1033
Tax %,35%,27%,27%,27%,25%,25%,25%,25%
Net Profit,322,335,131,353,826,1446,531,778
  └─ Minority share,0,-2,3,0,0,0,0,0
  └─ Exceptional items AT,-0,0,0,0,0,0,0,0
  └─ Profit excl Excep,322,335,131,353,826,1446,531,778
  └─ Profit for PE,322,334,134,353,826,1446,531,778
  └─ Profit for EPS,322,334,134,353,826,1446,531,778
  └─ Profit Growth %,,4%,-60%,163%,134%,75%,-63%,46%
EPS in Rs,22.41,23.17,8.61,22.65,52.87,90.72,33.27,48.54
Dividend Payout %,0%,0%,0%,0%,0%,11%,0%,0%
