Metric,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,29,49,77,104,97,101
  └─ Sales Growth %,,70.77%,,34.81%,-6.57%,4.45%
Expenses,27,47,70,95,83,83
  └─ Material Cost %,75%,81%,74%,77%,70%,64%
    └─ Raw material cost,22,40,62,80,64,65
    └─ Change in inventory,-0,-1,-4,-1,4,-1
  └─ Manufacturing Cost %,7%,7%,7%,8%,8%,0%
  └─ Employee Cost %,6%,6%,6%,4%,3%,4%
  └─ Other Cost %,6%,4%,3%,3%,4%,15%
Operating Profit,2,1,7,9,14,18
OPM %,7%,3%,10%,8%,14%,18%
Other Income,0,0,1,0,4,0
  └─ Exceptional items,0.05,0.00,0.58,-0.11,0.41,0.00
  └─ Other income normal,0.17,0.11,0.35,0.36,3.49,0.35
Interest,0,1,2,2,3,4
Depreciation,1,3,2,3,4,5
Profit before tax,0,-2,4,4,11,9
Tax %,75%,15%,42%,10%,17%,28%
Net Profit,0,-2,2,4,9,6
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,-0.53
  └─ Minority share,0.00,0.00,0.59,0.70,-1.25,0.00
  └─ Exceptional items AT,0.01,0.00,0.33,-0.05,0.34,0.00
  └─ Profit excl Excep,0.08,-2.37,1.96,3.63,8.94,5.77
  └─ Profit for PE,0.08,-2.37,2.55,4.33,7.74,5.77
  └─ Profit for EPS,0.09,-2.37,2.88,4.28,8.03,5.77
  └─ Profit Growth %,,-3062.50%,,69.80%,78.66%,-25.41%
EPS in Rs,0.39,-10.30,3.58,3.87,7.27,5.22
Dividend Payout %,0%,0%,0%,0%,0%,4%
