Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,96,121,153,125,102,132,140,170,256,313
  └─ Sales Growth %,,26.24%,26.23%,-18.18%,-18.68%,29.62%,6.50%,21.04%,51.01%,22.24%
Expenses,80,97,124,97,94,103,107,118,194,241
  └─ Manufacturing Cost %,7%,8%,6%,9%,10%,8%,8%,7%,6%,0%
  └─ Employee Cost %,60%,54%,60%,62%,71%,62%,61%,53%,58%,61%
  └─ Other Cost %,16%,18%,15%,7%,11%,8%,7%,9%,12%,16%
Operating Profit,16,24,29,28,8,28,33,51,62,73
OPM %,17%,20%,19%,22%,8%,21%,24%,30%,24%,23%
Other Income,0,0,0,-16,7,7,4,5,14,16
  └─ Exceptional items,0.00,-0.05,0.00,-18.50,0.00,0.04,0.00,0.41,7.04,-1.47
  └─ Other income normal,0.01,0.15,0.27,2.03,7.26,6.97,3.99,4.99,6.77,17.65
Interest,2,3,1,9,9,8,5,5,7,8
Depreciation,4,10,16,29,27,22,19,22,26,29
Profit before tax,10,12,12,-26,-21,5,13,30,43,52
Tax %,35%,19%,17%,-25%,-33%,37%,31%,29%,22%,26%
Net Profit,7,9,10,-20,-14,3,9,21,33,38
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
  └─ Exceptional items AT,0.00,-0.04,0.00,-18.45,0.00,0.03,0.00,0.29,5.51,-1.02
  └─ Profit excl Excep,6.55,9.48,10.07,-1.20,-13.94,3.38,8.79,21.09,27.65,39.22
  └─ Profit for PE,6.55,9.48,10.07,-1.20,-13.94,3.38,8.79,21.09,27.65,39.27
  └─ Profit for EPS,6.55,9.44,10.07,-19.65,-13.94,3.41,8.79,21.38,33.16,38.25
  └─ Profit Growth %,,44.73%,6.22%,-111.92%,-1061.67%,124.25%,160.06%,139.93%,31.10%,42.03%
EPS in Rs,5.80,0.50,0.53,-1.05,-0.74,0.18,0.47,1.04,1.26,1.45
Dividend Payout %,0%,9%,2%,0%,0%,0%,0%,0%,0%,0%
