Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,101,129,139,193,250,302,399,488,478
  └─ Sales Growth %,,28.06%,7.81%,38.62%,29.85%,20.68%,32.08%,22.38%,-2.13%
Expenses,89,103,114,154,197,243,322,388,424
  └─ Material Cost %,58%,52%,52%,52%,47%,46%,49%,45%,52%
    └─ Raw material cost,61,70,74,98,123,142,200,238,229
    └─ Change in inventory,-2,-3,-2,3,-5,-4,-5,-16,19
  └─ Manufacturing Cost %,11%,10%,11%,9%,8%,8%,8%,8%,0%
  └─ Employee Cost %,9%,10%,11%,9%,8%,13%,14%,15%,23%
  └─ Other Cost %,10%,8%,9%,9%,15%,14%,10%,11%,14%
Operating Profit,12,26,25,39,53,59,77,100,54
OPM %,12%,20%,18%,20%,21%,19%,19%,20%,11%
Other Income,3,4,5,3,3,7,12,21,-110
  └─ Exceptional items,0,-0,0,0,0,0,0,0,-118
  └─ Other income normal,3,4,5,3,3,7,12,21,8
Interest,4,3,2,1,1,4,8,12,14
Depreciation,1,2,2,2,3,7,11,16,18
Profit before tax,10,25,25,38,52,54,70,92,-88
Tax %,28%,23%,20%,21%,22%,20%,18%,24%,-6%
Net Profit,7,19,20,30,40,44,57,70,-83
  └─ Minority share,0,0,0,0,0,-44,-0,-1,1
  └─ Exceptional items AT,0,-0,0,0,0,0,0,0,-116
  └─ Profit excl Excep,7,19,20,30,40,44,57,70,33
  └─ Profit for PE,7,19,20,30,40,0,57,70,33
  └─ Profit for EPS,7,19,20,30,40,0,57,70,-82
  └─ Profit Growth %,,175%,7%,49%,32%,-100%,,22%,-53%
EPS in Rs,2.25,6.19,2.65,3.94,1.30,0.00,1.74,1.82,-2.14
Dividend Payout %,4%,2%,4%,0%,8%,,6%,5%,-5%
