Metric,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales,605,588,593,700,809,809,881,1156,1516,1685,1742,1958,2091
  └─ Sales Growth %,-6.70%,-2.78%,0.75%,18.10%,15.64%,15.64%,8.80%,31.23%,31.17%,11.13%,3.40%,12.43%,
Expenses,533,518,560,643,736,736,764,995,1316,1432,1485,1652,1754
  └─ Manufacturing Cost %,4%,3%,7%,6%,7%,0%,4%,4%,4%,4%,4%,4%,
  └─ Employee Cost %,60%,65%,70%,68%,67%,67%,69%,67%,67%,67%,68%,66%,
  └─ Other Cost %,24%,21%,17%,18%,17%,24%,13%,14%,15%,14%,13%,15%,
Operating Profit,73,71,33,57,73,73,116,161,200,252,257,307,336
OPM %,12%,12%,6%,8%,9%,9%,13%,14%,13%,15%,15%,16%,16%
Other Income,70,17,16,19,15,15,11,42,10,11,8,29,47
  └─ Exceptional items,60.16,4.58,0.04,0.07,0.07,0.00,-1.88,-0.22,0.33,-0.45,-0.01,18.81,
  └─ Other income normal,9.81,12.71,16.15,19.18,15.32,15.39,12.90,41.90,9.96,11.53,8.31,10.22,
Interest,1,1,0,0,2,2,6,5,5,9,8,14,22
Depreciation,14,12,13,14,15,15,26,28,35,54,65,66,73
Profit before tax,128,76,35,63,72,72,96,170,170,200,192,255,288
Tax %,23%,29%,36%,19%,19%,19%,15%,17%,18%,30%,32%,27%,
Net Profit,98,54,23,51,58,58,82,141,140,140,131,186,213
  └─ Exceptional items AT,46,3,0,0,0,0,-1,-0,0,-0,-0,13,
  └─ Profit excl Excep,52,51,23,51,58,58,83,142,139,140,131,173,
  └─ Profit for PE,52,51,23,51,58,58,83,142,139,140,131,173,
  └─ Profit for EPS,98,54,23,51,58,58,82,141,140,140,131,186,
  └─ Profit Growth %,-15%,-2%,-56%,127%,14%,14%,43%,70%,-2%,1%,-7%,32%,
EPS in Rs,7.71,4.33,1.82,4.12,4.83,4.86,6.84,11.96,11.81,11.84,11.09,15.73,17.99
Dividend Payout %,51%,0%,0%,14%,31%,0%,0%,48%,55%,57%,113%,38%,
