Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2,3,1,3,4,14,117,262,179
  └─ Sales Growth %,,36.96%,-62.54%,166.10%,39.17%,221.97%,728.78%,124.84%,-31.91%
Expenses,3,2,2,2,3,5,68,257,136
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,42%,86%,50%
    └─ Raw material cost,0,0,0,0,0,0,75,244,174
    └─ Change in inventory,0,0,0,0,0,0,-26,-18,-84
  └─ Manufacturing Cost %,3%,1%,3%,1%,11%,1%,2%,0%,0%
  └─ Employee Cost %,46%,23%,64%,18%,16%,11%,4%,4%,6%
  └─ Other Cost %,66%,53%,111%,46%,35%,26%,10%,8%,20%
Operating Profit,-0,1,-1,1,2,9,48,5,43
OPM %,-15%,22%,-78%,35%,38%,62%,41%,2%,24%
Other Income,0,0,0,0,0,16,2,4,1
  └─ Exceptional items,0.18,0.00,0.00,0.00,0.00,-0.07,-0.74,0.00,0.00
  └─ Other income normal,0.06,0.01,0.27,0.11,0.38,15.84,2.43,3.53,0.56
Interest,0,0,0,0,0,0,1,1,2
Depreciation,0,0,0,0,0,0,2,3,2
Profit before tax,-0,0,-1,1,2,24,47,5,39
Tax %,10%,20%,1%,4%,3%,9%,22%,64%,30%
Net Profit,-1,0,-2,1,4,22,37,2,28
  └─ Profit from Associates,-0,0,-0,-0,2,0,0,0,0
  └─ Minority share,0,0,0,0,0,-0,-9,-1,-9
  └─ Exceptional items AT,0,0,0,0,0,-0,-1,0,0
  └─ Profit excl Excep,-1,0,-2,1,4,22,37,2,28
  └─ Profit for PE,-1,0,-2,1,4,21,28,1,19
  └─ Profit for EPS,-1,0,-2,1,4,21,27,1,19
  └─ Profit Growth %,,127%,-740%,139%,476%,502%,28%,-95%,1352%
EPS in Rs,-0.58,0.20,-1.27,0.36,1.59,9.83,12.40,0.58,8.05
Dividend Payout %,0%,0%,0%,0%,0%,2%,1%,55%,9%
