Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1881,2172,2338,3152,4077,5308,6880
  └─ Sales Growth %,,15.52%,7.60%,34.85%,29.32%,30.20%,29.62%
Expenses,1603,1888,2091,2788,3518,4532,6060
  └─ Material Cost %,49.00%,48.58%,50.83%,57.52%,54.47%,48.40%,44.71%
    └─ Raw material cost,960,995,1206,1821,2258,2615,3210
    └─ Change in inventory,-39,60,-18,-8,-37,-46,-134
  └─ Manufacturing Cost %,8.62%,8.90%,7.71%,13.56%,14.87%,19.48%,0.00%
  └─ Employee Cost %,6.81%,6.19%,6.82%,5.70%,4.89%,4.90%,4.74%
  └─ Other Cost %,20.81%,23.26%,24.07%,11.67%,12.06%,12.61%,38.63%
Operating Profit,278,284,247,364,559,776,820
OPM %,15%,13%,11%,12%,14%,15%,12%
Other Income,22,19,20,19,56,48,32
  └─ Exceptional items,2.59,-0.83,0.01,-1.94,4.25,1.59,-17.38
  └─ Other income normal,19.45,19.75,19.57,20.77,51.54,46.40,49.34
Interest,146,138,139,189,246,300,219
Depreciation,32,34,37,46,50,56,66
Profit before tax,121,132,91,148,318,467,567
Tax %,15%,25%,28%,27%,27%,30%,29%
Net Profit,102,98,65,108,233,327,404
  └─ Profit from Associates,-1,-1,-0,0,0,0,0
  └─ Exceptional items AT,2,-1,0,-1,3,1,-12
  └─ Profit excl Excep,100,99,65,109,230,325,416
  └─ Profit for PE,100,99,65,109,230,325,416
  └─ Profit for EPS,102,98,65,108,233,327,404
  └─ Profit Growth %,,-1%,-35%,68%,111%,41%,28%
EPS in Rs,242.83,129.70,28.49,47.18,18.81,24.33,30.06
Dividend Payout %,0%,0%,0%,0%,8%,3%,7%
