Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,9.81,5.85,10.50,14.00,15.35,20.49,20.38
  └─ Sales Growth %,,-40.37%,79.49%,33.33%,9.64%,33.49%,-0.54%
Expenses,9.09,5.59,9.76,12.51,13.32,18.77,19.74
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,51%
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,0.00,10.35
  └─ Manufacturing Cost %,27%,34%,50%,48%,44%,51%,0%
  └─ Employee Cost %,50%,52%,37%,34%,35%,32%,37%
  └─ Other Cost %,15%,9%,5%,6%,8%,8%,9%
Operating Profit,0.72,0.26,0.74,1.49,2.03,1.72,0.64
OPM %,7.34%,4.44%,7.05%,10.64%,13.22%,8.39%,3.14%
Other Income,0.02,0.05,0.00,0.03,0.04,0.56,0.63
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.06,0.00
  └─ Other income normal,0.02,0.05,0.00,0.03,0.04,0.62,0.63
Interest,0.31,0.18,0.15,0.16,0.17,0.21,0.16
Depreciation,0.32,0.12,0.14,0.28,0.44,0.48,0.89
Profit before tax,0.11,0.01,0.45,1.08,1.46,1.59,0.22
Tax %,0.00%,-900.00%,-4.44%,5.56%,-4.79%,55.97%,40.91%
Net Profit,0.11,0.10,0.47,1.02,1.54,0.70,0.13
  └─ Exceptional items AT,0,0,0,0,0,-0,0
  └─ Profit excl Excep,0,0,0,1,2,1,0
  └─ Profit for PE,0,0,0,1,2,1,0
  └─ Profit for EPS,0,0,0,1,2,1,0
  └─ Profit Growth %,,-9%,370%,117%,51%,-52%,-82%
EPS in Rs,2.61,2.37,11.15,24.21,2.98,0.99,0.18
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
