Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,2567,3435,4315,6167,8527,10991,10837,13692,17158,19100,14967,15305,
  └─ Sales Growth %,,33.81%,25.62%,42.93%,38.26%,28.90%,-1.41%,26.34%,25.32%,11.32%,-21.64%,2.26%,155.17%
Expenses,2436,3284,4075,5805,8068,10341,10387,13067,16570,18400,14704,14993,
  └─ Material Cost %,,1%,2%,2%,3%,2%,2%,2%,3%,2%,0%,0%,0%
    └─ Raw material cost,,48.14,71.38,142.22,262.41,267.06,200.75,278.73,479.44,477.20,0.27,0.00,0.00
  └─ Manufacturing Cost %,,2%,5%,5%,5%,4%,4%,5%,5%,4%,2%,0%,4%
  └─ Employee Cost %,,88%,84%,82%,79%,82%,86%,85%,85%,87%,94%,95%,88%
  └─ Other Cost %,,4%,4%,4%,7%,5%,5%,3%,4%,3%,2%,3%,3%
Operating Profit,131,151,240,362,459,650,449,624,589,700,263,312,
OPM %,5%,4%,6%,6%,5%,6%,4%,5%,3%,4%,2%,2%,
Other Income,6,9,15,50,71,-617,78,27,80,0,-141,8,
  └─ Exceptional items,,0.64,-0.89,-6.27,7.90,-660.60,32.98,10.06,54.79,-26.28,-164.36,-8.07,0.04
  └─ Other income normal,,8.41,15.55,56.76,63.08,43.79,44.74,16.96,25.13,26.37,23.54,16.49,5.66
Interest,23,31,49,77,117,169,114,82,110,121,39,49,
Depreciation,10,14,33,75,123,249,229,212,275,283,41,42,
Profit before tax,104,115,172,261,289,-384,185,358,284,295,42,230,
Tax %,36%,29%,29%,-18%,11%,12%,60%,30%,22%,5%,-10%,3%,
Net Profit,67,81,122,310,257,-432,74,251,223,280,46,222,
  └─ Minority share,,0,0,1,0,-13,-16,-10,2,-3,-0,-1,0
  └─ Exceptional items AT,,0,-1,-5,6,-579,14,7,39,-22,-132,-8,0
  └─ Profit excl Excep,,81,123,315,251,148,59,244,184,302,178,230,67
  └─ Profit for PE,,81,123,316,251,135,47,234,186,299,178,229,67
  └─ Profit for EPS,,81,122,311,257,-445,58,241,224,278,46,222,67
  └─ Profit Growth %,,20%,51%,158%,-20%,-46%,-65%,403%,-21%,61%,-41%,29%,277%
EPS in Rs,26.05,7.17,9.61,21.37,17.57,-30.15,3.92,16.30,15.14,18.71,3.08,14.84,
Dividend Payout %,0%,0%,0%,0%,0%,0%,179%,25%,53%,53%,325%,74%,
