Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.28,0.37,1.30,0.50,3.96,11.72
Operating Profit,-0.28,-0.37,-1.30,-0.50,-3.96,-11.72
OPM %,,,,,,
Other Income,0.00,1.86,0.02,0.00,-0.33,7.40
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.33,
  └─ Other income normal,0.00,1.86,0.02,0.00,0.00,
Interest,0.24,0.27,0.30,0.34,0.40,0.45
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,-0.52,1.22,-1.58,-0.84,-4.69,-4.77
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,
Net Profit,-0.52,1.22,-1.58,-0.84,-4.69,-4.77
  └─ Exceptional items AT,0,0,0,0,-0,
  └─ Profit excl Excep,-1,1,-2,-1,-4,
  └─ Profit for PE,-1,1,-2,-1,-4,
  └─ Profit for EPS,-1,1,-2,-1,-5,
  └─ Profit Growth %,,335%,-230%,47%,-419%,
EPS in Rs,-0.17,0.41,-0.53,-0.28,-1.36,-1.38
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,
