Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,3448,2532,3978,3376,3921,1940,1705,1575,2692,5642,4765,703,8
  └─ Sales Growth %,-37%,-27%,57%,-15%,16%,-51%,-12%,-8%,71%,110%,-16%,-85%,
Expenses,3192,2474,3705,3155,3593,2070,1815,1676,2882,6238,5556,814,38
  └─ Material Cost %,61%,64%,51%,47%,47%,51%,45%,48%,49%,49%,50%,52%,
    └─ Raw material cost,2100,1665,2064,1568,1786,946,778,710,1305,2805,2392,329,
    └─ Change in inventory,13,-50,-52,13,66,35,-5,43,1,-25,11,34,
  └─ Manufacturing Cost %,15%,17%,23%,28%,28%,34%,43%,41%,48%,44%,50%,45%,
  └─ Employee Cost %,4%,5%,4%,5%,4%,8%,6%,6%,4%,2%,2%,4%,
  └─ Other Cost %,13%,11%,16%,14%,12%,14%,11%,11%,7%,16%,14%,15%,
Operating Profit,256,58,273,221,328,-130,-110,-101,-190,-595,-791,-111,-29
OPM %,7%,2%,7%,7%,8%,-7%,-6%,-6%,-7%,-11%,-17%,-16%,-346%
Other Income,-174,-115,26,35,43,5,29,-122,-78,63,22,2615,5
  └─ Exceptional items,-210,-156,-6,-1,-2,-22,0,-147,-109,0,6,131,
  └─ Other income normal,36,41,32,35,45,26,29,24,30,63,16,2484,
Interest,282,236,329,325,308,308,329,348,370,526,479,61,6
Depreciation,126,94,93,89,89,89,82,82,82,79,50,8,0
Profit before tax,-326,-387,-123,-158,-27,-522,-492,-653,-720,-1137,-1298,2435,-31
Tax %,-28%,1%,-27%,-23%,-19%,-7%,-7%,-6%,-4%,-21%,-1%,0%,
Net Profit,-236,-392,-89,-122,-22,-486,-459,-615,-689,-900,-1284,2425,-28
  └─ Exceptional items AT,-210,-154,-6,-1,-2,-22,0,-147,-109,0,6,131,
  └─ Profit excl Excep,-25,-238,-84,-121,-20,-464,-459,-469,-580,-900,-1290,2294,
  └─ Profit for PE,-25,-238,-84,-121,-20,-464,-459,-469,-580,-900,-1290,2294,
  └─ Profit for EPS,-236,-392,-89,-122,-22,-486,-459,-615,-689,-900,-1284,2425,
  └─ Profit Growth %,-130%,-845%,65%,-45%,84%,-2275%,1%,-2%,-24%,-55%,-43%,278%,
EPS in Rs,-3.94,-6.55,-1.49,-2.04,-0.36,-8.13,-7.67,-10.29,-11.52,-15.05,-21.47,40.55,-0.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
