Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,848,670,932,1598,1770,2274,2711
  └─ Sales Growth %,,-20.97%,39.17%,71.36%,10.76%,28.52%,19.19%
Expenses,760,560,820,1592,1794,2056,2352
  └─ Material Cost %,30.85%,8.40%,4.29%,6.82%,8.85%,12.55%,13.52%
    └─ Raw material cost,261,58,48,134,143,287,365
    └─ Change in inventory,1,-2,-8,-25,13,-2,2
  └─ Manufacturing Cost %,4.87%,6.29%,4.62%,13.55%,13.53%,12.09%,0.00%
  └─ Employee Cost %,33.42%,46.45%,48.07%,56.04%,50.14%,43.28%,39.44%
  └─ Other Cost %,20.56%,22.49%,30.97%,23.26%,28.88%,22.48%,33.83%
Operating Profit,87,110,112,5,-25,218,358
OPM %,10%,16%,12%,0%,-1%,10%,13%
Other Income,18,13,25,56,55,16,133
  └─ Exceptional items,-0,0,2,-36,1,-36,-3
  └─ Other income normal,18,13,24,92,53,52,137
Interest,18,22,24,36,64,79,84
Depreciation,155,175,189,315,363,292,270
Profit before tax,-68,-74,-75,-289,-398,-136,137
Tax %,-30%,-25%,-70%,-8%,-14%,7%,18%
Net Profit,-47,-56,-23,-265,-342,-145,113
  └─ Exceptional items AT,-0,0,2,-35,1,-31,-2
  └─ Profit excl Excep,-47,-56,-24,-230,-343,-114,115
  └─ Profit for PE,-47,-56,-24,-230,-343,-114,115
  └─ Profit for EPS,-47,-56,-23,-265,-342,-145,113
  └─ Profit Growth %,,-19%,56%,-845%,-49%,67%,201%
EPS in Rs,-3.95,-4.34,-1.67,-18.99,-4.07,-1.73,0.98
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%
