Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1654,2781,3647,6882,7225,8142,8932,10508
  └─ Sales Growth %,,68.12%,31.14%,88.74%,4.98%,12.68%,9.71%,17.65%
Expenses,3272,2952,3769,7357,7677,8015,8556,9868
  └─ Material Cost %,0%,0%,0%,2%,0%,0%,0%,0%
    └─ Raw material cost,0.00,5.77,10.21,175.02,0.00,0.00,0.00,0.00
    └─ Change in inventory,0.00,0.00,0.00,-2.88,1.58,0.00,0.00,0.00
  └─ Manufacturing Cost %,79%,81%,79%,75%,82%,76%,76%,0%
  └─ Employee Cost %,21%,18%,17%,19%,19%,18%,15%,15%
  └─ Other Cost %,98%,7%,7%,10%,5%,4%,4%,79%
Operating Profit,-1618,-171,-123,-475,-452,127,376,640
OPM %,-98%,-6%,-3%,-7%,-6%,2%,4%,6%
Other Income,41,207,150,156,319,439,442,340
  └─ Exceptional items,3,39,-31,19,14,20,21,-26
  └─ Other income normal,38,169,181,136,305,419,421,366
Interest,36,49,89,100,89,89,126,144
Depreciation,170,256,355,611,831,722,535,695
Profit before tax,-1783,-269,-416,-1029,-1053,-244,157,140
Tax %,-0%,0%,-0%,-2%,-4%,2%,-3%,-9%
Net Profit,-1783,-269,-416,-1011,-1008,-249,162,153
  └─ Minority share,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,3,39,-31,19,14,20,21,-26
  └─ Profit excl Excep,-1786,-308,-385,-1030,-1022,-269,141,178
  └─ Profit for PE,-1786,-308,-385,-1030,-1022,-269,141,178
  └─ Profit for EPS,-1783,-269,-416,-1011,-1008,-249,162,153
  └─ Profit Growth %,,83%,-25%,-168%,1%,74%,152%,26%
EPS in Rs,-18607.05,-2758.26,-2492.60,-15.75,-13.83,-3.38,2.17,2.04
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
