Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,61,146,121,81,91,110,197,240,292,325,353
  └─ Sales Growth %,,140.60%,-16.67%,-33.64%,12.90%,21.11%,79.11%,21.56%,21.80%,11.07%,8.58%
Expenses,48,129,96,57,58,78,148,181,216,231,230
  └─ Material Cost %,55.67%,75.05%,54.12%,36.93%,24.26%,41.75%,-25.27%,-32.95%,56.98%,53.20%,47.94%
    └─ Raw material cost,53,72,97,128,124,117,0,0,304,331,348
    └─ Change in inventory,-19,37,-31,-98,-102,-71,-50,-79,-138,-158,-179
  └─ Manufacturing Cost %,4.52%,3.16%,4.01%,5.40%,2.37%,5.33%,84.59%,94.56%,2.29%,1.51%,0.00%
  └─ Employee Cost %,12.81%,7.38%,13.37%,14.13%,23.28%,19.62%,13.76%,11.10%,11.84%,13.23%,12.23%
  └─ Other Cost %,6.50%,2.96%,7.64%,13.98%,13.79%,3.64%,2.08%,2.90%,2.90%,3.35%,4.95%
Operating Profit,12,17,25,24,33,33,49,59,76,93,123
OPM %,20%,11%,21%,30%,36%,30%,25%,24%,26%,29%,35%
Other Income,0,0,1,0,2,2,3,6,9,13,10
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.23,0.00,0.00,0.00
  └─ Other income normal,0.38,0.42,0.82,0.37,2.02,2.35,3.45,6.18,9.06,12.58,9.70
Interest,5,7,8,8,13,11,5,5,8,13,15
Depreciation,2,2,3,4,4,4,4,6,12,18,22
Profit before tax,6,8,15,12,18,20,44,54,66,74,96
Tax %,33%,34%,23%,20%,17%,16%,17%,11%,21%,10%,1%
Net Profit,4,5,12,9,15,17,36,48,52,67,95
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,4,5,12,9,15,17,36,48,52,67,95
  └─ Profit for PE,4,5,12,9,15,17,36,48,52,67,95
  └─ Profit for EPS,4,5,12,9,15,17,36,48,52,67,95
  └─ Profit Growth %,,34%,124%,-20%,62%,12%,115%,32%,9%,28%,42%
EPS in Rs,0.38,0.51,1.14,0.91,1.47,1.38,2.98,3.94,4.26,5.45,7.59
Dividend Payout %,0%,0%,9%,0%,3%,4%,3%,3%,2%,2%,3%
