Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,36701,31136,47568,50569,60427,70676,75379,85651,101456,109913,117055,130144,
  └─ Sales Growth %,14.18%,,52.78%,6.31%,19.49%,16.96%,6.65%,13.63%,18.45%,8.34%,6.50%,11.18%,-3.14%
Expenses,28215,24482,37178,39323,46501,53360,55331,65122,78828,85715,91551,103392,
  └─ Material Cost %,3%,,2%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%
    └─ Raw material cost,1306,,826,1251,1615,1536,1698,1473,2072,1754,1976,2715,813
    └─ Change in inventory,-36,,-11,104,81,0,-3,-67,-67,43,52,-106,-109
  └─ Manufacturing Cost %,17%,,20%,19%,19%,18%,16%,17%,17%,15%,14%,-0%,19%
  └─ Employee Cost %,48%,,48%,49%,48%,49%,52%,54%,54%,57%,57%,57%,49%
  └─ Other Cost %,8%,,8%,7%,7%,6%,3%,3%,4%,4%,5%,20%,9%
Operating Profit,8486,6654,10390,11246,13926,17316,20048,20529,22628,24198,25504,26752,
OPM %,23%,21%,22%,22%,23%,24%,27%,24%,22%,22%,22%,21%,
Other Income,1126,871,1069,1230,943,589,927,1067,1358,1495,2485,574,
  └─ Exceptional items,179,,42,161,167,125,215,118,265,172,202,-956,167
  └─ Other income normal,947,,1027,1069,776,464,712,949,1093,1323,2283,1530,704
Interest,91,74,89,69,174,505,511,319,353,553,644,869,
Depreciation,404,410,828,1383,2073,3420,4611,4326,4145,4173,4084,4355,
Profit before tax,9117,7041,10542,11024,12622,13980,15853,16951,19488,20967,23261,22102,
Tax %,20%,20%,18%,21%,20%,21%,30%,20%,24%,25%,25%,25%,
Net Profit,7342,5602,8606,8722,10120,11057,11169,13523,14845,15710,17399,16652,
  └─ Profit from Associates,40,,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,-25,,0,-1,0,0,-24,-24,6,-8,-9,-10,1
  └─ Exceptional items AT,137,,34,126,126,99,151,94,202,129,151,-720,128
  └─ Profit excl Excep,7205,,8572,8596,9994,10958,11018,13429,14643,15581,17248,17372,5474
  └─ Profit for PE,7180,,8572,8595,9994,10958,10994,13405,14649,15573,17239,17362,5475
  └─ Profit for EPS,7317,,8606,8721,10120,11057,11145,13499,14851,15702,17390,16642,5602
  └─ Profit Growth %,12%,,57%,0%,16%,10%,0%,22%,9%,6%,11%,1%,-15%
EPS in Rs,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.08,61.33,
Dividend Payout %,58%,40%,40%,19%,11%,25%,24%,84%,88%,90%,94%,88%,
