Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,15.88,22.73,24.71,20.21,13.36,11.20,22.67,31.51,15.93,49.23,30.69,26.62
  └─ Sales Growth %,-21.50%,43.14%,8.71%,-18.21%,-33.89%,-16.17%,102.41%,38.99%,-49.44%,209.04%,-37.66%,-13.26%
Expenses,9.25,13.16,10.36,10.16,13.04,13.75,7.65,11.20,15.12,13.07,17.54,18.43
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,4.64%,1.43%,-0.49%,0.16%,-0.31%,0.41%,0.00%,0.00%
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
    └─ Change in inventory,0.00,0.00,0.00,0.00,0.58,0.16,-0.11,0.05,-0.05,0.20,0.00,0.00
  └─ Manufacturing Cost %,3.15%,2.38%,2.63%,2.23%,26.05%,49.82%,3.48%,2.98%,32.83%,3.03%,5.31%,0.00%
  └─ Employee Cost %,26.70%,19.31%,17.77%,25.88%,34.06%,41.16%,17.56%,16.69%,34.09%,12.17%,28.67%,39.29%
  └─ Other Cost %,28.40%,36.21%,21.53%,22.17%,32.86%,30.36%,13.19%,15.71%,28.31%,10.95%,23.17%,29.94%
Operating Profit,6.63,9.57,14.35,10.05,0.32,-2.55,15.02,20.31,0.81,36.16,13.15,8.19
OPM %,41.75%,42.10%,58.07%,49.73%,2.40%,-22.77%,66.25%,64.46%,5.08%,73.45%,42.85%,30.77%
Other Income,0.18,0.48,0.15,-0.21,0.69,0.17,0.08,0.23,0.02,0.39,0.05,2.50
  └─ Exceptional items,-0.13,-0.03,0.00,-0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35
  └─ Other income normal,0.31,0.51,0.15,0.21,0.69,0.17,0.08,0.23,0.02,0.39,0.05,2.85
Interest,3.52,2.62,2.68,1.86,1.13,1.22,1.09,1.18,0.25,0.29,0.73,0.32
Depreciation,0.75,0.94,4.37,0.71,0.77,0.76,0.73,0.69,0.63,0.78,0.91,1.08
Profit before tax,2.54,6.49,7.45,7.27,-0.89,-4.36,13.28,18.67,-0.05,35.48,11.56,9.29
Tax %,33.46%,30.66%,22.68%,21.46%,20.22%,-3.21%,15.06%,13.87%,3320.00%,21.67%,7.01%,28.31%
Net Profit,1.69,4.50,5.77,5.71,-1.06,-4.22,11.27,16.08,-1.63,26.79,14.57,6.66
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,-1,4,0
  └─ Exceptional items AT,-0,-0,0,-0,0,0,0,0,0,0,0,-0
  └─ Profit excl Excep,2,5,6,6,-1,-4,11,16,-2,27,15,7
  └─ Profit for PE,2,5,6,6,-1,-4,11,16,-2,27,15,7
  └─ Profit for EPS,2,4,6,6,-1,-4,11,16,-2,27,15,7
  └─ Profit Growth %,-21%,154%,28%,4%,-118%,-298%,367%,43%,-110%,1744%,-46%,-53%
EPS in Rs,2.41,6.41,8.22,8.14,-1.51,-6.01,16.06,22.91,-2.32,38.17,26.17,11.96
Dividend Payout %,32.96%,12.38%,9.65%,19.51%,-52.55%,-13.20%,4.94%,3.46%,-34.17%,2.08%,3.82%,8.36%
