Metric,Dec 2014,Dec 2015,Mar 201715m,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2017
Sales,287,279,307,186,184,182,196,174,174,174,185,203,
  └─ Sales Growth %,18.04%,-2.60%,,-39.50%,-0.97%,-1.00%,7.40%,-10.97%,0.09%,0.00%,6.01%,9.75%,9.94%
Expenses,286,252,298,160,141,134,140,121,125,128,132,134,
  └─ Material Cost %,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.90%,0.00%
    └─ Raw material cost,-0,-0,,-0,-0,-0,-0,-0,-0,-0,-0,61,-0
  └─ Manufacturing Cost %,18.75%,12.49%,,20.14%,22.67%,26.05%,30.32%,30.76%,31.81%,35.21%,30.28%,0.00%,15.71%
  └─ Employee Cost %,59.09%,61.26%,,56.55%,48.09%,42.11%,37.83%,35.88%,36.39%,35.25%,34.80%,29.85%,62.62%
  └─ Other Cost %,21.91%,16.31%,,9.30%,6.03%,5.41%,3.57%,2.74%,3.36%,2.72%,6.23%,6.48%,18.70%
Operating Profit,1,28,9,26,43,48,55,53,50,47,53,69,
OPM %,0%,10%,3%,14%,23%,26%,28%,31%,28%,27%,29%,34%,
Other Income,36,15,14,16,15,13,16,9,11,22,17,14,
  └─ Exceptional items,12.80,0.08,,0.05,0.10,0.02,0.00,0.00,0.02,0.16,0.03,0.00,0.18
  └─ Other income normal,23.55,15.13,,15.72,14.45,12.66,15.93,8.57,10.68,21.67,16.98,13.59,13.72
Interest,1,0,0,0,0,0,0,0,0,2,6,5,
Depreciation,5,4,3,1,0,1,1,1,1,1,0,0,
Profit before tax,32,39,20,41,57,59,70,61,60,66,63,77,
Tax %,21%,24%,8%,22%,18%,8%,10%,14%,25%,79%,22%,22%,
Net Profit,25,29,18,32,47,55,62,53,45,14,50,59,
  └─ Exceptional items AT,9,0,,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,16,29,,32,47,55,62,53,45,14,50,59,18
  └─ Profit for PE,16,29,,32,47,55,62,53,45,14,50,59,18
  └─ Profit for EPS,25,29,,32,47,55,62,53,45,14,50,59,18
  └─ Profit Growth %,-40%,77%,,74%,48%,17%,14%,-16%,-15%,-70%,262%,20%,-38%
EPS in Rs,2.25,2.62,1.64,2.84,4.19,4.91,5.60,4.72,4.03,1.23,4.45,5.34,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,2765%,45%,37%,
