Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales,124,186,184,161,145,140
  └─ Sales Growth %,,49.53%,-1.05%,-12.53%,-9.81%,-3.21%
Expenses,117,161,174,211,217,168
  └─ Material Cost %,21.21%,16.98%,17.83%,25.94%,18.18%,21.61%
    └─ Raw material cost,25.96,31.14,32.35,41.49,26.53,29.81
    └─ Change in inventory,0.39,0.41,0.43,0.22,-0.17,0.52
  └─ Manufacturing Cost %,13.10%,12.76%,12.20%,17.12%,15.30%,13.39%
  └─ Employee Cost %,25.21%,28.92%,32.87%,42.92%,46.18%,43.70%
  └─ Other Cost %,34.97%,28.09%,31.64%,45.12%,69.73%,40.75%
Operating Profit,7,25,10,-50,-72,-27
OPM %,6%,13%,5%,-31%,-49%,-19%
Other Income,11,11,3,-30,61,-7
  └─ Exceptional items,-0.58,0.28,-0.46,-34.73,24.41,-10.89
  └─ Other income normal,11.09,10.35,3.35,4.78,36.72,4.20
Interest,0,5,10,11,15,5
Depreciation,8,9,8,8,8,6
Profit before tax,9,21,-5,-98,-33,-45
Tax %,22%,19%,8%,3%,0%,2%
Net Profit,7,17,-5,-101,-33,-46
  └─ Minority share,-0.26,-3.02,-0.01,0.00,0.00,0.00
  └─ Exceptional items AT,-0.42,0.22,-0.24,-34.16,23.29,-10.68
  └─ Profit excl Excep,7.80,16.72,-4.95,-66.61,-56.69,-35.04
  └─ Profit for PE,7.53,13.74,-4.96,-66.61,-56.69,-35.04
  └─ Profit for EPS,7.12,13.92,-5.20,-100.77,-33.40,-45.72
  └─ Profit Growth %,,82.58%,-136.10%,-1242.94%,14.89%,38.19%
EPS in Rs,,2.82,-1.05,-20.23,,-9.14
Dividend Payout %,64%,28%,-38%,0%,0%,0%
