Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,88,77,58,54,58,22,69,116,142
  └─ Sales Growth %,,-11.75%,-24.27%,-7.25%,7.59%,-61.57%,209.54%,66.71%,22.89%
Expenses,73,61,48,40,44,20,61,109,134
  └─ Manufacturing Cost %,53%,42%,30%,16%,18%,27%,62%,73%,0%
  └─ Employee Cost %,23%,29%,41%,48%,47%,51%,20%,15%,15%
  └─ Other Cost %,8%,8%,12%,10%,10%,9%,6%,5%,79%
Operating Profit,14,16,10,14,14,3,9,7,8
OPM %,17%,21%,17%,27%,25%,13%,13%,6%,6%
Other Income,0,6,4,2,2,-302,19,4,8
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-302.24,18.02,0.00,-0.38
  └─ Other income normal,0.48,6.22,3.99,1.70,2.04,0.48,1.18,3.94,8.31
Interest,5,6,5,2,2,2,1,1,1
Depreciation,2,1,1,1,1,2,4,4,4
Profit before tax,7,15,8,13,14,-304,23,7,11
Tax %,4%,20%,16%,13%,20%,-1%,6%,36%,18%
Net Profit,7,12,7,11,11,-299,21,4,9
  └─ Minority share,0,0,0,0,0,0,0,0,-0
  └─ Exceptional items AT,0,0,0,0,0,-225,12,0,-0
  └─ Profit excl Excep,7,12,7,11,11,-74,10,4,9
  └─ Profit for PE,7,12,7,11,11,-74,10,4,9
  └─ Profit for EPS,7,12,7,11,11,-299,21,4,9
  └─ Profit Growth %,,71%,-44%,60%,-1%,-776%,113%,-56%,108%
EPS in Rs,,10.40,5.87,9.39,9.28,-253.15,14.60,2.92,3.54
Dividend Payout %,0%,5%,0%,0%,5%,0%,0%,0%,0%
