Metric,Mar 2024,Mar 2025,Mar 2026
Sales,1169,2598,2792
  └─ Sales Growth %,,122.22%,7.44%
Expenses,1159,2532,2701
  └─ Material Cost %,74%,76%,69%
    └─ Raw material cost,850,1981,1934
    └─ Change in inventory,18,-13,3
  └─ Manufacturing Cost %,0%,11%,0%
  └─ Employee Cost %,7%,5%,5%
  └─ Other Cost %,18%,6%,22%
Operating Profit,10,66,91
OPM %,1%,3%,3%
Other Income,18,31,19
  └─ Exceptional items,-7.68,0.07,-7.72
  └─ Other income normal,25.30,30.83,26.98
Interest,19,60,63
Depreciation,6,13,20
Profit before tax,4,24,27
Tax %,-17%,35%,25%
Net Profit,4,15,20
  └─ Exceptional items AT,-6,0,-4
  └─ Profit excl Excep,10,15,25
  └─ Profit for PE,10,15,25
  └─ Profit for EPS,4,15,20
  └─ Profit Growth %,,54%,60%
EPS in Rs,0.37,1.34,1.75
Dividend Payout %,0%,0%,34%
