Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,131,877,1197,1787,2386,2971
  └─ Sales Growth %,,569.61%,36.52%,49.30%,33.49%,24.55%
Expenses,48,258,381,531,710,869
  └─ Material Cost %,0.19%,0.27%,0.46%,0.41%,0.35%,0.37%
    └─ Raw material cost,0.25,2.40,5.48,7.37,8.37,10.87
  └─ Manufacturing Cost %,18.85%,19.97%,22.26%,20.62%,20.48%,0.00%
  └─ Employee Cost %,2.15%,2.25%,2.90%,2.65%,1.04%,1.05%
  └─ Other Cost %,15.79%,6.98%,6.24%,6.00%,7.89%,27.82%
Operating Profit,83,618,816,1256,1676,2102
OPM %,63%,71%,68%,70%,70%,71%
Other Income,5,22,32,61,82,100
  └─ Exceptional items,0,0,0,0,1,0
  └─ Other income normal,5,22,32,61,81,100
Interest,41,208,432,852,1078,975
Depreciation,32,208,275,411,430,469
Profit before tax,15,224,140,54,250,758
Tax %,-69%,-10%,7%,128%,36%,29%
Net Profit,25,246,131,-15,160,537
  └─ Minority share,0,0,0,27,25,-56
  └─ Exceptional items AT,0,0,0,0,0,0
  └─ Profit excl Excep,25,246,131,-15,160,537
  └─ Profit for PE,25,246,131,12,184,481
  └─ Profit for EPS,25,246,131,12,185,481
  └─ Profit Growth %,,873%,-47%,-91%,1422%,161%
EPS in Rs,0.84,7.35,3.92,0.28,3.04,6.42
Dividend Payout %,0%,274%,0%,0%,572%,270%
