Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,46.09,56.53,78.74,96.30
  └─ Sales Growth %,,22.65%,39.29%,
Expenses,40.83,50.90,70.51,85.87
  └─ Material Cost %,64%,57%,55%,
    └─ Raw material cost,34.63,30.37,46.00,
    └─ Change in inventory,-4.94,1.97,-2.83,
  └─ Manufacturing Cost %,1%,1%,2%,
  └─ Employee Cost %,19%,26%,28%,
  └─ Other Cost %,4%,6%,4%,
Operating Profit,5.26,5.63,8.23,10.43
OPM %,11.41%,9.96%,10.45%,10.83%
Other Income,0.23,0.93,1.58,1.51
  └─ Exceptional items,-0.12,0.00,-0.04,
  └─ Other income normal,0.35,0.93,1.62,
Interest,1.27,1.86,2.74,3.74
Depreciation,0.26,0.58,1.01,1.08
Profit before tax,3.96,4.12,6.06,7.12
Tax %,28.28%,29.37%,27.72%,
Net Profit,2.84,2.91,4.38,5.24
  └─ Minority share,0,-0,-0,
  └─ Exceptional items AT,-0,0,-0,
  └─ Profit excl Excep,3,3,4,
  └─ Profit for PE,3,3,4,
  └─ Profit for EPS,3,3,4,
  └─ Profit Growth %,,-5%,57%,
EPS in Rs,15.65,1.50,2.22,2.68
Dividend Payout %,-0.00%,-0.00%,-0.00%,
