Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,64,97,243,301,519,1118
  └─ Sales Growth %,,50%,151%,24%,72%,115%
Expenses,60,90,210,260,459,1043
  └─ Material Cost %,0%,3%,3%,9%,6%,0%
    └─ Raw material cost,0.19,2.60,8.27,26.83,28.03,0.00
    └─ Change in inventory,0.00,0.00,0.12,-1.04,1.11,0.00
  └─ Manufacturing Cost %,67%,66%,64%,61%,72%,0%
  └─ Employee Cost %,6%,7%,10%,10%,7%,4%
  └─ Other Cost %,19%,18%,9%,6%,4%,89%
Operating Profit,5,7,33,42,60,75
OPM %,7%,7%,14%,14%,12%,7%
Other Income,1,2,1,8,26,25
  └─ Exceptional items,0.00,0.00,-2.18,0.25,3.24,0.00
  └─ Other income normal,0.75,1.70,2.81,7.85,22.96,25.00
Interest,2,1,4,1,1,1
Depreciation,0,1,3,3,6,6
Profit before tax,4,7,27,46,79,93
Tax %,20%,21%,25%,27%,26%,25%
Net Profit,3,5,20,34,59,69
  └─ Minority share,0,0,-1,-2,-6,-12
  └─ Exceptional items AT,0,0,-2,0,2,0
  └─ Profit excl Excep,3,5,22,33,56,69
  └─ Profit for PE,3,5,20,31,50,58
  └─ Profit for EPS,3,5,19,31,53,58
  └─ Profit Growth %,,71%,278%,53%,61%,14%
EPS in Rs,3150.00,5380.00,2.83,3.46,5.78,6.33
Dividend Payout %,0%,0%,0%,0%,17%,16%
