Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2633,3463,4401,3625,5665,5616,6431
  └─ Sales Growth %,,31.51%,27.08%,-17.64%,56.29%,-0.85%,14.50%
Expenses,1678,2161,2890,2600,4332,4348,4801
  └─ Material Cost %,41.85%,43.08%,47.93%,46.50%,38.36%,37.22%,34.88%
    └─ Raw material cost,1109,1765,2073,1732,2045,1987,2246
    └─ Change in inventory,-7,-273,37,-47,128,103,-3
  └─ Manufacturing Cost %,6.86%,5.93%,5.28%,7.69%,9.27%,9.13%,3.15%
  └─ Employee Cost %,10.54%,8.99%,7.69%,11.13%,22.19%,24.95%,25.33%
  └─ Other Cost %,4.46%,4.39%,4.78%,6.41%,6.65%,6.10%,11.30%
Operating Profit,955,1302,1510,1025,1333,1269,1630
OPM %,36%,38%,34%,28%,24%,23%,25%
Other Income,139,135,224,184,170,214,292
  └─ Exceptional items,17,0,4,-54,1,1,-24
  └─ Other income normal,122,135,219,238,170,212,316
Interest,7,3,5,7,26,42,33
Depreciation,95,99,110,147,345,378,424
Profit before tax,993,1335,1619,1055,1133,1063,1465
Tax %,22%,25%,25%,26%,32%,34%,30%
Net Profit,773,997,1212,781,772,699,1027
  └─ Exceptional items AT,13,0,3,-40,0,1,-17
  └─ Profit excl Excep,760,997,1208,821,772,698,1044
  └─ Profit for PE,760,997,1208,821,772,698,1044
  └─ Profit for EPS,773,997,1212,781,772,699,1027
  └─ Profit Growth %,,31%,21%,-32%,-6%,-10%,50%
EPS in Rs,49.88,60.94,73.75,47.42,46.90,42.40,62.35
Dividend Payout %,0%,0%,0%,0%,43%,42%,32%
