Metric,Dec 2005,Dec 2006,Dec 2007
Sales,235,285,339
  └─ Sales Growth %,,21.22%,18.67%
Expenses,186,220,259
  └─ Material Cost %,57%,59%,59%
    └─ Raw material cost,139,167,204
    └─ Change in inventory,-6,2,-4
  └─ Manufacturing Cost %,5%,4%,3%
  └─ Employee Cost %,7%,6%,7%
  └─ Other Cost %,11%,8%,7%
Operating Profit,49,65,80
OPM %,21%,23%,24%
Other Income,15,6,8
  └─ Exceptional items,4.68,0.00,-0.06
  └─ Other income normal,9.89,5.79,7.82
Interest,1,1,1
Depreciation,4,5,6
Profit before tax,58,65,81
Tax %,32%,34%,34%
Net Profit,40,43,54
  └─ Minority share,0,0,-0
  └─ Exceptional items AT,3,0,-0
  └─ Profit excl Excep,36,43,54
  └─ Profit for PE,36,43,54
  └─ Profit for EPS,40,43,54
  └─ Profit Growth %,,17%,26%
EPS in Rs,25.78,27.71,34.84
Dividend Payout %,101%,0%,44%
