Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2464,2674,3055,3626,3379,3296,4022,5020,5898,6349,7701
  └─ Sales Growth %,,8.53%,14.28%,18.69%,-6.81%,-2.47%,22.02%,24.81%,17.50%,7.64%,21.29%
Expenses,2187,2390,2790,3251,3085,2909,3610,4286,4871,5164,6286
  └─ Material Cost %,63%,63%,64%,64%,63%,62%,66%,62%,59%,57%,58%
    └─ Raw material cost,1560,1700,1977,2307,2202,2000,2630,3173,3512,3553,4484
    └─ Change in inventory,-18,-11,-22,22,-60,50,8,-55,-15,39,-37
  └─ Manufacturing Cost %,9%,8%,10%,9%,10%,10%,9%,8%,8%,8%,0%
  └─ Employee Cost %,8%,8%,7%,7%,8%,8%,7%,7%,7%,9%,8%
  └─ Other Cost %,9%,10%,10%,10%,10%,8%,8%,8%,8%,8%,16%
Operating Profit,277,283,265,376,295,387,412,734,1027,1185,1415
OPM %,11%,11%,9%,10%,9%,12%,10%,15%,17%,19%,18%
Other Income,49,83,72,63,52,17,27,29,16,90,42
  └─ Exceptional items,39,61,51,47,38,4,11,14,-1,62,-28
  └─ Other income normal,10,22,21,16,14,13,16,15,17,27,70
Interest,9,3,12,13,14,50,106,210,329,483,523
Depreciation,111,111,123,94,87,84,101,105,119,140,174
Profit before tax,205,253,203,331,245,270,232,449,595,652,761
Tax %,19%,31%,33%,34%,23%,27%,26%,26%,26%,27%,26%
Net Profit,165,174,136,220,188,197,171,332,440,476,562
  └─ Minority share,0,0,4,-0,-3,-2,4,1,2,13,12
  └─ Exceptional items AT,30,42,32,31,28,3,8,10,-1,45,-19
  └─ Profit excl Excep,136,132,104,189,160,194,163,321,441,430,582
  └─ Profit for PE,136,132,108,188,158,192,167,322,443,444,594
  └─ Profit for EPS,165,174,140,219,185,195,175,332,442,489,574
  └─ Profit Growth %,,-3%,-18%,75%,-16%,21%,-13%,93%,37%,0%,34%
EPS in Rs,11.44,12.02,9.66,15.16,12.81,13.48,12.07,22.96,30.48,33.69,39.51
Dividend Payout %,44%,42%,52%,33%,31%,30%,33%,22%,20%,19%,11%
