Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1785,1645,1544,2013,2555,2995,3601,4176
  └─ Sales Growth %,,-7.88%,-6.12%,30.38%,26.93%,17.20%,20.25%,15.98%
Expenses,1559,1434,1358,1847,2325,2694,3169,3645
  └─ Material Cost %,65%,63%,65%,69%,70%,68%,68%,66%
    └─ Raw material cost,1178,1035,1015,1404,1799,2065,2469,2806
    └─ Change in inventory,-15,6,-17,-10,-17,-23,-37,-41
  └─ Manufacturing Cost %,13%,13%,13%,14%,13%,13%,12%,0%
  └─ Employee Cost %,7%,7%,7%,6%,5%,6%,5%,5%
  └─ Other Cost %,3%,3%,3%,3%,3%,3%,3%,16%
Operating Profit,226,211,186,166,231,301,432,531
OPM %,13%,13%,12%,8%,9%,10%,12%,13%
Other Income,12,-6,19,11,11,27,18,22
  └─ Exceptional items,8.40,-9.86,10.95,0.03,0.42,-0.17,0.01,0.00
  └─ Other income normal,3.98,4.24,8.42,11.15,10.69,26.88,17.88,22.35
Interest,20,20,11,8,11,29,34,48
Depreciation,37,52,52,56,61,69,89,114
Profit before tax,181,133,143,113,170,230,327,391
Tax %,33%,20%,26%,27%,28%,24%,24%,24%
Net Profit,114,107,106,83,123,174,248,297
  └─ Profit from Associates,-8,0,0,0,0,0,0,0
  └─ Exceptional items AT,6,-8,8,0,0,-0,0,0
  └─ Profit excl Excep,108,115,98,83,123,174,248,297
  └─ Profit for PE,108,115,98,83,123,174,248,297
  └─ Profit for EPS,114,107,106,83,123,174,248,297
  └─ Profit Growth %,,6%,-14%,-16%,48%,42%,42%,20%
EPS in Rs,25.58,21.03,5.22,4.11,6.24,8.81,12.56,15.08
Dividend Payout %,0%,2%,8%,0%,0%,11%,12%,12%
