Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,174,171,246,253,226,214,247
  └─ Sales Growth %,,-1.16%,43.61%,2.85%,-10.96%,-5.31%,15.71%
Expenses,166,162,228,236,200,195,230
  └─ Material Cost %,29.98%,34.03%,30.38%,29.41%,24.58%,30.21%,34.35%
    └─ Raw material cost,54,51,81,78,67,58,97
    └─ Change in inventory,-2,7,-6,-3,-11,7,-12
  └─ Manufacturing Cost %,22.50%,20.57%,20.12%,21.49%,21.17%,19.96%,0.00%
  └─ Employee Cost %,26.00%,23.51%,18.54%,21.21%,22.56%,24.20%,22.99%
  └─ Other Cost %,17.44%,16.57%,23.39%,21.15%,20.57%,17.06%,35.71%
Operating Profit,7,9,19,17,25,18,17
OPM %,4%,5%,8%,7%,11%,9%,7%
Other Income,-10,2,2,10,2,2,9
  └─ Exceptional items,-13.32,-0.03,0.00,4.33,-0.30,0.18,0.00
  └─ Other income normal,3.51,1.84,2.05,5.99,2.02,2.27,8.64
Interest,6,5,5,3,4,6,5
Depreciation,5,4,4,5,6,7,5
Profit before tax,-13,1,11,19,17,8,16
Tax %,0%,2%,1%,28%,44%,31%,30%
Net Profit,-13,1,11,14,9,6,11
  └─ Exceptional items AT,-13,-0,0,3,-0,0,0
  └─ Profit excl Excep,0,1,11,11,10,6,11
  └─ Profit for PE,0,1,11,11,10,6,11
  └─ Profit for EPS,-13,1,11,14,9,6,11
  └─ Profit Growth %,,,676%,-3%,-11%,-41%,97%
EPS in Rs,-2.34,0.22,1.71,2.16,1.43,0.89,1.65
Dividend Payout %,0%,0%,0%,0%,7%,6%,3%
