Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,9.79,14.04,10.10,10.96,16.34,21.69,32.74,36.35,40.88
  └─ Sales Growth %,,43.41%,-28.06%,8.51%,49.09%,32.74%,50.95%,11.03%,12.46%
Expenses,9.65,13.71,10.12,10.46,13.81,20.40,32.26,34.74,34.74
  └─ Material Cost %,53%,63%,54%,52%,51%,59%,65%,49%,55%
    └─ Raw material cost,5.18,7.19,5.19,5.41,8.33,14.11,21.89,17.63,24.69
    └─ Change in inventory,-0.02,1.66,0.26,0.32,-0.02,-1.40,-0.45,0.05,-2.20
  └─ Manufacturing Cost %,3%,3%,5%,8%,6%,6%,6%,7%,0%
  └─ Employee Cost %,24%,19%,27%,25%,17%,18%,14%,13%,13%
  └─ Other Cost %,18%,13%,15%,10%,11%,12%,14%,27%,17%
Operating Profit,0.14,0.33,-0.02,0.50,2.53,1.29,0.48,1.61,6.14
OPM %,1.43%,2.35%,-0.20%,4.56%,15.48%,5.95%,1.47%,4.43%,15.02%
Other Income,1.22,1.09,0.49,0.58,1.45,1.47,3.14,1.18,1.31
  └─ Exceptional items,0.20,0.33,0.24,0.42,1.35,0.10,1.58,0.29,0.00
  └─ Other income normal,1.02,0.76,0.25,0.16,0.10,1.37,1.56,0.89,1.31
Interest,0.08,0.19,0.21,0.24,0.21,0.28,0.57,0.55,0.75
Depreciation,0.32,0.27,0.30,0.38,0.34,0.44,0.47,0.50,0.52
Profit before tax,0.96,0.96,-0.04,0.46,3.43,2.04,2.58,1.74,6.18
Tax %,20.83%,45.83%,400.00%,45.65%,18.08%,30.39%,49.22%,-59.20%,35.76%
Net Profit,0.76,0.51,-0.19,0.26,2.80,1.42,1.32,2.76,3.97
  └─ Minority share,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,1,0,1,0,0
  └─ Profit excl Excep,1,0,-0,0,2,1,0,3,4
  └─ Profit for PE,1,0,-0,0,2,1,0,3,4
  └─ Profit for EPS,1,1,-0,0,3,1,1,3,4
  └─ Profit Growth %,,-45%,-185%,107%,8350%,-20%,-64%,423%,61%
EPS in Rs,0.34,0.16,-0.06,0.08,0.88,0.45,0.42,0.87,1.27
Dividend Payout %,0.00%,0.00%,0.00%,135.77%,18.91%,0.00%,0.00%,14.39%,0.00%
