Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,339,368,388,325,170,26,25,59,6,6,7,8,7
  └─ Sales Growth %,9.44%,8.37%,5.56%,-16.13%,-47.62%,-85.00%,-2.23%,134.40%,-90.00%,8.87%,11.60%,15.31%,
Expenses,479,370,419,321,335,37,27,81,38,63,14,11,11
  └─ Material Cost %,48%,52%,57%,69%,66%,10%,5%,6%,17%,7%,18%,14%,
    └─ Raw material cost,161.95,190.33,223.89,222.26,109.52,2.48,1.27,3.23,0.98,0.44,1.27,1.13,
    └─ Change in inventory,0.27,0.79,-2.47,1.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Manufacturing Cost %,1%,1%,0%,0%,0%,4%,1%,1%,4%,7%,6%,5%,
  └─ Employee Cost %,32%,31%,26%,18%,22%,77%,72%,16%,130%,94%,77%,63%,
  └─ Other Cost %,61%,17%,25%,12%,109%,53%,30%,117%,503%,881%,102%,56%,
Operating Profit,-140,-3,-31,4,-165,-11,-2,-23,-32,-57,-7,-3,-4
OPM %,-41%,-1%,-8%,1%,-97%,-43%,-9%,-39%,-554%,-889%,-103%,-38%,-47%
Other Income,80,80,7,23,93,111,11,2,65,191,-9,-10,-22
  └─ Exceptional items,69.43,-0.91,-0.11,0.14,0.00,17.70,0.00,0.00,0.00,-11.40,-12.18,-11.40,
  └─ Other income normal,10.33,80.55,6.91,22.51,92.88,92.82,10.58,2.36,65.02,202.21,3.22,0.90,
Interest,97,114,93,122,2,1,0,0,1,3,0,1,1
Depreciation,44,31,32,30,15,13,13,14,1,0,0,0,0
Profit before tax,-201,-68,-149,-125,-88,85,-5,-35,31,131,-17,-14,-26
Tax %,-49%,-41%,-25%,-28%,-11%,124%,597%,-43%,148%,175%,10%,0%,
Net Profit,-103,-40,-112,-90,-78,-21,-35,-20,-15,-98,-18,-14,-26
  └─ Exceptional items AT,69.43,-0.90,-0.11,0.14,0.00,-3.17,0.00,0.00,0.00,8.51,-11.99,-11.04,
  └─ Profit excl Excep,-172.40,-38.70,-111.95,-89.85,-78.25,-17.62,-35.39,-19.65,-15.00,-106.05,-6.21,-3.32,
  └─ Profit for PE,-172.40,-38.70,-111.95,-89.85,-78.25,-17.62,-35.39,-19.65,-15.00,-106.05,-6.21,-3.32,
  └─ Profit for EPS,-102.97,-39.60,-112.06,-89.71,-78.25,-20.79,-35.39,-19.65,-15.00,-97.54,-18.20,-14.36,
  └─ Profit Growth %,34.17%,77.55%,-189.28%,19.74%,12.91%,77.48%,-100.85%,44.48%,23.66%,-607.00%,94.14%,46.54%,
EPS in Rs,-8.74,-3.36,-9.52,-7.62,-6.64,-1.77,-3.01,-1.67,-1.27,-8.28,-1.55,-0.95,-1.68
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
