Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,978,1146,1383,1306,1590,1915,2265,2425,2487
  └─ Sales Growth %,,17.24%,20.68%,-5.58%,21.71%,20.45%,18.28%,7.06%,2.58%
Expenses,830,948,1129,1012,1190,1377,1665,1798,1891
  └─ Material Cost %,4%,8%,14%,14%,10%,6%,9%,10%,8%
    └─ Raw material cost,51,101,181,207,136,113,252,195,176
    └─ Change in inventory,-11,-11,10,-27,18,3,-57,44,31
  └─ Manufacturing Cost %,4%,4%,4%,3%,3%,4%,5%,4%,0%
  └─ Employee Cost %,24%,19%,16%,15%,15%,14%,15%,14%,15%
  └─ Other Cost %,52%,52%,48%,46%,48%,48%,45%,46%,53%
Operating Profit,147,198,254,294,400,538,599,627,596
OPM %,15%,17%,18%,22%,25%,28%,26%,26%,24%
Other Income,8,13,5,16,8,15,34,51,36
  └─ Exceptional items,1.78,3.46,1.67,0.91,2.60,4.08,10.42,17.46,-9.24
  └─ Other income normal,5.97,9.70,3.39,14.92,5.31,10.64,23.60,33.22,45.66
Interest,1,7,7,8,14,20,16,18,19
Depreciation,32,54,57,63,92,132,150,161,208
Profit before tax,122,150,195,238,301,401,467,498,405
Tax %,34%,36%,31%,29%,26%,26%,26%,25%,25%
Net Profit,80,96,135,169,224,297,347,372,303
  └─ Exceptional items AT,1,2,1,1,2,3,8,13,-7
  └─ Profit excl Excep,79,94,134,168,222,294,339,359,310
  └─ Profit for PE,79,94,134,168,222,294,339,359,310
  └─ Profit for EPS,80,96,135,169,224,297,347,372,303
  └─ Profit Growth %,,19%,42%,26%,32%,32%,15%,6%,-14%
EPS in Rs,5.42,6.50,9.10,11.39,14.63,19.25,21.33,22.66,18.43
Dividend Payout %,0%,25%,20%,13%,17%,25%,27%,42%,0%
